rank,node_id,name,municipality_code,betweenness,weighted_degree
1,facility:2090236,FUNDACAO PIO XII BARRETOS,350550,0.1010488429,11298.0
2,facility:2083086,HOSPITAL AMARAL CARVALHO JAU,352530,0.0626812838,8558.0
3,facility:2402564,HOSPITAL MUNICIPAL ESAU MATOS,293330,0.0573117516,4075.0
4,facility:6602533,HOSPITAL ESTADUAL DA CRIANCA,291080,0.0540863195,6448.0
5,facility:2365146,HOSPITAL REGIONAL TIBERIO NUNES,220390,0.0491460713,11369.0
6,facility:2077396,HOSPITAL DE BASE DE SAO JOSE DO RIO PRETO,354980,0.0475855655,21721.0
7,facility:2498421,HOSPITAL PORTUGUES HOSPITAL PADRE PAULO FELBER,292120,0.0435746595,1878.0
8,facility:0013633,HOSPITAL ANGELINA CARON,410400,0.0423413378,14604.0
9,facility:2510391,HOSPITAL REGIONAL DE RUY BARBOSA,292720,0.0422311162,3307.0
10,facility:2149990,HOSPITAL SANTA CASA DE MONTES CLAROS,314330,0.0421777457,8239.0
11,facility:2533480,HOSPITAL NAIR ALVES DE SOUZA,292400,0.0415744275,1672.0
12,facility:7061021,HOSPITAL REGIONAL DO SERTAO CENTRAL,231140,0.0412820502,6437.0
13,facility:2082187,HOSPITAL DAS CLINICAS FAEPA RIBEIRAO PRETO,354340,0.0376957874,15967.0
14,facility:2537788,HOSPITAL REGIONAL DO OESTE,420420,0.0357408042,7513.0
15,facility:2726726,HOSPITAL REGIONAL ANTONIO DIAS,314800,0.0349611314,3687.0
16,facility:2564211,HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,230190,0.0338380313,2268.0
17,facility:3972925,HOSPITAL DO OESTE,290320,0.0335386927,11251.0
18,facility:0002232,HOSPITAL SANTA ISABEL,280030,0.0318203959,14543.0
19,facility:0027014,SANTA CASA DE BELO HORIZONTE,310620,0.0302169617,11112.0
20,facility:2430711,HOSPITAL DOM MALAN,261110,0.0286135275,14095.0
21,facility:2222043,HOSPITAL MUNICIPAL,312770,0.0283350729,4867.0
22,facility:2246988,HOSPITAL SAO VICENTE DE PAULO,431410,0.0274266149,9615.0
23,facility:2436469,HOSPITAL MUNICIPAL SAO JOSE,420910,0.026881308,1775.0
24,facility:3004791,SARAH BELO HORIZONTE,310620,0.0264845103,2344.0
25,facility:4009622,HOSPITAL REGIONAL JUSTINO LUZ,220800,0.0257860534,3986.0
26,facility:2356287,HOSPITAL REGIONAL INACIO DE SA,261220,0.0252442272,3692.0
27,facility:2786117,HOSPITAL GERAL DE PALMAS DR FRANCISCO AYRES,172100,0.0244889192,8229.0
28,facility:2348489,HOSPITAL PROFESSOR AGAMENON MAGALHAES,261390,0.0240526737,1342.0
29,facility:7498810,HOSPITAL MESTRE VITALINO,260410,0.02326836,10147.0
30,facility:2639262,HOSPITAL E MATERNIDADE SANTA MARIA,260110,0.0231883043,2421.0
