community_id,nodes,edges,facility_nodes,municipality_nodes,dominant_uf_prefix,dominant_uf_share
0,138,1238,36,102,27,1.0
1,10,10,6,4,13,0.7
2,12,18,7,5,13,1.0
3,2,1,1,1,13,1.0
4,324,1172,90,234,35,0.972222
5,118,564,32,86,31,0.983051
6,726,4756,209,517,31,0.997245
7,324,1830,98,226,43,1.0
8,337,1126,77,260,43,1.0
9,265,1950,172,93,33,0.992453
10,58,170,31,27,15,1.0
11,156,774,57,99,51,0.99359
12,228,1859,54,174,24,0.969298
13,135,1454,55,80,32,0.985185
14,75,255,35,40,21,0.96
15,64,141,26,38,51,1.0
16,396,2024,113,283,42,1.0
17,31,99,15,16,14,0.967742
18,271,1813,62,209,25,0.99262
19,111,350,38,73,31,1.0
20,209,1791,111,98,15,0.995215
21,253,1459,64,189,41,0.996047
22,57,181,14,43,35,1.0
23,175,466,43,132,31,1.0
24,291,2571,107,184,23,0.996564
25,65,189,29,36,29,0.984615
26,38,90,23,15,15,1.0
27,106,569,50,56,11,0.933962
28,52,159,25,27,12,0.807692
29,9,9,4,5,13,1.0
30,4,3,2,2,13,1.0
31,2,1,1,1,13,1.0
32,87,476,53,34,13,0.977011
33,2,1,1,1,13,1.0
34,39,126,20,19,16,0.794872
35,172,662,31,141,17,0.976744
36,301,2143,132,169,21,0.996678
37,318,2092,85,233,22,0.959119
38,296,3955,118,178,26,0.983108
39,73,295,38,35,29,0.671233
40,104,665,26,78,28,0.951923
41,547,5632,210,337,29,0.996344
42,38,94,18,20,29,0.973684
43,426,2840,227,199,35,0.981221
44,248,958,74,174,35,1.0
45,237,1001,81,156,41,0.751055
46,168,1283,76,92,41,0.994048
47,93,370,44,49,50,0.989247
48,431,3457,175,256,52,0.900232
