community_id,uf_prefix,node_count
0,27,138
1,13,7
1,15,3
2,13,12
3,13,2
4,31,7
4,35,315
4,52,2
5,25,1
5,29,1
5,31,116
6,31,724
6,32,2
7,43,324
8,43,337
9,31,1
9,33,263
9,35,1
10,15,58
11,11,1
11,51,155
12,24,221
12,25,7
13,31,2
13,32,133
14,15,1
14,17,1
14,21,72
14,35,1
15,51,64
16,42,396
17,13,1
17,14,30
18,25,269
18,26,2
19,31,111
20,15,208
20,21,1
21,31,1
21,41,252
22,35,57
23,31,175
24,23,290
24,26,1
25,29,64
25,52,1
26,15,38
27,11,99
27,13,6
27,51,1
28,12,42
28,13,10
29,13,9
30,13,4
31,13,2
32,13,85
32,23,1
32,24,1
33,13,2
34,15,8
34,16,31
35,17,168
35,51,4
36,21,300
36,35,1
37,21,13
37,22,305
38,25,5
38,26,291
39,26,24
39,29,49
40,28,99
40,29,5
41,13,1
41,29,545
41,35,1
42,29,37
42,42,1
43,31,7
43,33,1
43,35,418
44,35,248
45,41,178
45,42,5
45,50,54
46,31,1
46,41,167
47,50,92
47,52,1
48,31,18
48,52,388
48,53,25
