source_node_id,target_node_id,transfer_count,direct_distance_km,paths_found,k1_distance_km,k2_distance_km,k2_k1_ratio,no_alternative
municipality:500270,facility:0009717,21152.0,63.967799,3,63.967799,132.902385,2.077645,False
municipality:530010,facility:0010499,19834.0,29.502017,3,29.502017,88.295224,2.992854,False
municipality:530010,facility:0010480,19517.0,32.228792,3,32.228792,64.233728,1.993054,False
municipality:355030,facility:5420938,16755.0,25.609396,1,25.609396,,,True
municipality:330455,facility:6995462,13598.0,25.666346,3,25.666346,77.51255,3.020007,False
municipality:140010,facility:2566168,13570.0,33.907006,3,33.907006,158.347206,4.670044,False
municipality:130260,facility:2013649,13372.0,58.543267,3,58.543267,151.425332,2.586554,False
municipality:130260,facility:3151794,12257.0,60.379865,1,60.379865,,,True
municipality:530010,facility:5717515,11157.0,38.521251,3,38.521251,57.941269,1.504138,False
municipality:355030,facility:2077620,11030.0,31.694581,3,31.694581,86.029794,2.714338,False
municipality:150680,facility:2329905,10651.0,64.496306,3,64.496306,123.683505,1.917684,False
municipality:530010,facility:0010472,10388.0,39.667261,3,39.667261,92.578358,2.333873,False
municipality:160030,facility:2020068,10300.0,71.021879,3,71.021879,138.548513,1.950786,False
municipality:130260,facility:5169976,10205.0,57.866523,3,57.866523,152.075343,2.628037,False
municipality:500270,facility:0009725,9738.0,61.247384,3,61.247384,137.668449,2.247744,False
municipality:110020,facility:4001303,9334.0,65.191895,3,65.191895,185.136017,2.839862,False
municipality:150553,facility:2615746,8951.0,64.884357,3,64.884357,322.269969,4.966836,False
municipality:110020,facility:2493888,8943.0,60.633885,3,60.633885,184.455128,3.042113,False
municipality:530010,facility:2672197,8865.0,30.610317,3,30.610317,87.186923,2.848286,False
municipality:140010,facility:2319659,8112.0,31.809745,3,31.809745,160.444467,5.043878,False
municipality:130260,facility:6627595,8028.0,59.434453,3,59.434453,151.413278,2.547567,False
municipality:510340,facility:2311682,8018.0,29.606951,3,29.606951,122.276347,4.129988,False
municipality:261110,facility:2430711,7509.0,42.459797,3,42.459797,102.936252,2.424323,False
municipality:110030,facility:2798484,7286.0,72.504815,3,72.504815,349.754799,4.823884,False
municipality:110012,facility:2495279,7128.0,49.805348,3,49.805348,117.707542,2.363351,False
municipality:355030,facility:2688573,7001.0,25.223951,3,25.223951,89.55897,3.550553,False
municipality:330455,facility:2280183,6977.0,26.827926,3,26.827926,77.342359,2.882905,False
municipality:292530,facility:2802090,6844.0,29.486365,3,29.486365,92.899228,3.150583,False
municipality:500270,facility:0009709,6769.0,59.844536,3,59.844536,136.504083,2.280978,False
municipality:130260,facility:7564546,6707.0,48.620112,3,48.620112,153.29824,3.15298,False
