rank,node_id,name,municipality_code,betweenness,weighted_degree
1,facility:2090236,FUNDACAO PIO XII BARRETOS,350550,0.1048563889,9833.0
2,facility:2083086,HOSPITAL AMARAL CARVALHO JAU,352530,0.0830478377,7436.0
3,facility:2246988,HOSPITAL SAO VICENTE DE PAULO,431410,0.0705162961,6800.0
4,facility:2402564,HOSPITAL MUNICIPAL ESAU MATOS,293330,0.0567558005,3103.0
5,facility:2082187,HOSPITAL DAS CLINICAS FAEPA RIBEIRAO PRETO,354340,0.0529320053,8296.0
6,facility:2365146,HOSPITAL REGIONAL TIBERIO NUNES,220390,0.0523791052,6926.0
7,facility:2077396,HOSPITAL DE BASE DE SAO JOSE DO RIO PRETO,354980,0.0483710099,11798.0
8,facility:0027014,SANTA CASA DE BELO HORIZONTE,310620,0.0463574889,7913.0
9,facility:2737434,CEONC,410480,0.0426447904,9370.0
10,facility:2786117,HOSPITAL GERAL DE PALMAS DR FRANCISCO AYRES,172100,0.0389768751,6983.0
11,facility:7061021,HOSPITAL REGIONAL DO SERTAO CENTRAL,231140,0.0385023455,4721.0
12,facility:6602533,HOSPITAL ESTADUAL DA CRIANCA,291080,0.0366955162,4957.0
13,facility:2510391,HOSPITAL REGIONAL DE RUY BARBOSA,292720,0.0344925278,2958.0
14,facility:2726726,HOSPITAL REGIONAL ANTONIO DIAS,314800,0.0325849363,2552.0
15,facility:2149990,HOSPITAL SANTA CASA DE MONTES CLAROS,314330,0.0314541608,8064.0
16,facility:2533480,HOSPITAL NAIR ALVES DE SOUZA,292400,0.030522326,762.0
17,facility:2237253,IRMANDADE DA SANTA CASA DE MISERICORDIA DE PORTO ALEGRE,431490,0.0275588847,4662.0
18,facility:2748223,HOSPITAL DAS CLINICAS DA FACULDADE DE MEDICINA DE BOTUCATU,350750,0.0265056185,5688.0
19,facility:3972925,HOSPITAL DO OESTE,290320,0.026291176,10955.0
20,facility:3157245,HOSPITAL UNIV PROFESSOR POLYDORO ERNANI DE SAO THIAGO,420540,0.0256418198,988.0
21,facility:2452383,MATERNIDADE DE ALTO RISCO DE IMPERATRIZ,210530,0.0252861379,3094.0
22,facility:2078015,HC DA FMUSP HOSPITAL DAS CLINICAS SAO PAULO,355030,0.0250139939,3688.0
23,facility:2195453,HOSPITAL DO CANCER DE MURIAE,314390,0.0248727546,4224.0
24,facility:4009622,HOSPITAL REGIONAL JUSTINO LUZ,220800,0.0244671223,2626.0
25,facility:2673916,SARAH BRASILIA,530010,0.0239667563,1874.0
26,facility:2615797,HOSPITAL MUNICIPAL DE MARABA,150420,0.0233139552,4608.0
27,facility:9336508,HOSPITAL REGIONAL DE BALSAS,210140,0.0232226664,4851.0
28,facility:3004791,SARAH BELO HORIZONTE,310620,0.0227739733,2068.0
29,facility:2775999,IRMANDADE DA SANTA CASA DE MISERICORDIA DE PASSOS,314790,0.0222193508,3075.0
30,facility:2079798,HOSPITAL DAS CLINICAS DA UNICAMP DE CAMPINAS,350950,0.022164233,2688.0
