community_id,nodes,edges,facility_nodes,municipality_nodes,dominant_uf_prefix,dominant_uf_share
0,88,399,21,67,28,0.977273
1,130,902,31,99,27,1.0
2,2,1,1,1,13,1.0
3,7,6,4,3,13,0.857143
4,12,17,7,5,13,1.0
5,2,1,1,1,13,1.0
6,2,1,1,1,13,1.0
7,140,308,23,117,35,0.992857
8,644,3377,166,478,31,0.993789
9,126,254,26,100,31,1.0
10,579,2172,141,438,43,0.996546
11,606,5466,209,397,29,0.950495
12,39,111,21,18,15,1.0
13,220,1437,46,174,24,0.954545
14,269,2173,85,184,23,0.992565
15,56,150,23,33,29,0.982143
16,223,1246,48,175,25,1.0
17,344,1284,90,254,42,0.997093
18,290,3156,102,188,26,0.924138
19,514,3324,179,335,52,0.673152
20,604,3376,184,420,41,0.900662
21,171,584,32,139,17,0.947368
22,98,503,42,56,11,0.94898
23,47,137,22,25,12,0.808511
24,34,73,19,15,15,1.0
25,287,1755,62,225,22,0.972125
26,219,1179,126,93,33,0.972603
27,4,3,2,2,13,1.0
28,71,378,43,28,13,0.971831
29,2,1,1,1,13,1.0
30,16,19,8,8,13,0.8125
31,9,8,4,5,13,1.0
32,27,88,12,15,14,0.962963
33,38,114,19,19,16,0.789474
34,19,31,10,9,15,1.0
35,192,1547,98,94,15,0.989583
36,342,2141,134,208,21,0.988304
37,114,476,30,84,31,0.973684
38,134,1207,52,82,32,0.947761
39,690,2713,246,444,35,0.95942
40,46,116,12,34,35,1.0
41,84,341,34,50,50,0.988095
42,203,917,71,132,51,0.990148
