community_id,uf_prefix,node_count
0,28,86
0,29,2
1,27,130
2,13,2
3,12,1
3,13,6
4,13,12
5,13,2
6,13,2
7,35,139
7,51,1
8,26,1
8,28,1
8,29,1
8,31,640
8,32,1
9,31,126
10,22,1
10,33,1
10,43,577
11,13,1
11,22,1
11,26,17
11,28,7
11,29,576
11,31,1
11,35,1
11,42,1
11,43,1
12,15,39
13,24,210
13,25,9
13,35,1
14,22,1
14,23,267
14,26,1
15,29,55
15,52,1
16,25,223
17,42,343
17,43,1
18,21,1
18,23,1
18,25,16
18,26,268
18,27,1
18,31,2
18,33,1
19,14,1
19,17,1
19,21,1
19,26,1
19,31,117
19,35,22
19,52,346
19,53,25
20,31,5
20,41,544
20,42,11
20,50,43
20,51,1
21,15,1
21,17,162
21,31,1
21,35,1
21,41,1
21,51,5
22,11,93
22,12,2
22,13,2
22,51,1
23,12,38
23,13,9
24,15,34
25,21,8
25,22,279
26,31,4
26,33,213
26,35,2
27,13,4
28,13,69
28,23,1
28,24,1
29,13,2
30,13,13
30,15,3
31,13,9
32,13,1
32,14,26
33,15,8
33,16,30
34,15,19
35,15,190
35,21,2
36,17,1
36,21,338
36,22,1
36,35,2
37,25,1
37,26,1
37,29,1
37,31,111
38,31,5
38,32,127
38,41,1
38,42,1
39,17,2
39,21,1
39,28,1
39,31,20
39,33,3
39,35,662
39,51,1
40,35,46
41,50,83
41,52,1
42,11,1
42,51,201
42,52,1
