min_residence_count,min_transfer_count,distance_min_km,nodes,edges,components,largest_component_nodes,largest_component_share
3.0,1.0,50.0,8632,68518,3,8628,0.999537
3.0,1.0,100.0,7325,44640,8,7311,0.998089
3.0,1.0,200.0,5263,22630,27,5207,0.98936
3.0,2.0,50.0,8192,66188,1,8192,1.0
3.0,2.0,100.0,6924,43112,9,6908,0.997689
3.0,2.0,200.0,5008,21879,23,4961,0.990615
3.0,3.0,50.0,8107,65752,1,8107,1.0
3.0,3.0,100.0,6838,42839,9,6822,0.99766
3.0,3.0,200.0,4963,21753,23,4916,0.99053
5.0,1.0,50.0,8261,50068,8,8247,0.998305
5.0,1.0,100.0,6572,30938,18,6536,0.994522
5.0,1.0,200.0,4226,14583,35,4150,0.982016
5.0,2.0,50.0,7750,47738,4,7744,0.999226
5.0,2.0,100.0,6092,29410,10,6072,0.996717
5.0,2.0,200.0,3915,13832,27,3860,0.985951
5.0,3.0,50.0,7642,47302,4,7636,0.999215
5.0,3.0,100.0,5994,29137,10,5974,0.996663
5.0,3.0,200.0,3861,13706,26,3808,0.986273
10.0,1.0,50.0,7592,31793,20,7554,0.994995
10.0,1.0,100.0,5420,18200,37,5342,0.985609
10.0,1.0,200.0,3016,7784,57,2881,0.955239
10.0,2.0,50.0,6959,29463,13,6935,0.996551
10.0,2.0,100.0,4833,16672,24,4784,0.989861
10.0,2.0,200.0,2636,7033,34,2556,0.969651
10.0,3.0,50.0,6823,29027,12,6801,0.996776
10.0,3.0,100.0,4721,16399,24,4672,0.989621
10.0,3.0,200.0,2575,6907,32,2499,0.970485
