distance_min_km,source_node_id,source_name,source_municipality_code,source_health_region_id,total_flow,target_facilities,top_target_node_id,top_target_name,top_target_flow,top_target_share,cross_health_region_flow,cross_health_region_share,cross_uf_flow,cross_uf_share,weighted_mean_distance_km,max_edge_distance_km
50.0,municipality:510788,Serra Nova Dourada - MT,510788,MT-0016,96.0,1,facility:2473046,HOSPITAL REGIONAL DE AGUA BOA,96.0,1.0,96.0,1.0,0.0,0.0,241.208202,241.208202
50.0,municipality:311010,Caiana - MG,311010,MG-0024,70.0,1,facility:2195453,HOSPITAL DO CANCER DE MURIAE,70.0,1.0,70.0,1.0,0.0,0.0,65.406906,65.406906
50.0,municipality:312250,Dom Cavati - MG,312250,MG-0016,58.0,1,facility:2193310,HOSPITAL MUNICIPAL ELIANE MARTINS,58.0,1.0,58.0,1.0,0.0,0.0,50.086216,50.086216
50.0,municipality:150190,Bujaru - PA,150190,PA-0002,47.0,1,facility:9917322,HOSPITAL REGIONAL PUBLICO DR ABELARDO SANTOS,47.0,1.0,47.0,1.0,0.0,0.0,56.098494,56.098494
50.0,municipality:231210,Santana do Cariri - CE,231210,CE-0020,41.0,1,facility:2564211,HOSPITAL MATERNIDADE SAO VICENTE DE PAULO HMSVP,41.0,1.0,41.0,1.0,0.0,0.0,50.769498,50.769498
50.0,municipality:230770,Maranguape - CE,230770,CE-0003,39.0,1,facility:7061021,HOSPITAL REGIONAL DO SERTAO CENTRAL,39.0,1.0,39.0,1.0,0.0,0.0,139.966926,139.966926
50.0,municipality:353360,Nuporanga - SP,353360,SP-0208,39.0,1,facility:2082187,HOSPITAL DAS CLINICAS FAEPA RIBEIRAO PRETO,39.0,1.0,39.0,1.0,0.0,0.0,52.545787,52.545787
50.0,municipality:350670,Boa Esperança do Sul - SP,350670,SP-0203,37.0,1,facility:2082187,HOSPITAL DAS CLINICAS FAEPA RIBEIRAO PRETO,37.0,1.0,37.0,1.0,0.0,0.0,106.609105,106.609105
50.0,municipality:420765,Iporã do Oeste - SC,420765,SC-0005,37.0,1,facility:2537788,HOSPITAL REGIONAL DO OESTE,37.0,1.0,37.0,1.0,0.0,0.0,89.04265,89.04265
50.0,municipality:352800,Macatuba - SP,352800,SP-0006,35.0,1,facility:2748223,HOSPITAL DAS CLINICAS DA FACULDADE DE MEDICINA DE BOTUCATU,35.0,1.0,35.0,1.0,0.0,0.0,50.362998,50.362998
50.0,municipality:410685,Cruzmaltina - PR,410685,PR-0022,33.0,1,facility:2576341,HONPAR HOSPITAL NORTE PARANAENSE,33.0,1.0,33.0,1.0,0.0,0.0,70.189824,70.189824
50.0,municipality:310370,Araponga - MG,310370,MG-0008,31.0,1,facility:2195453,HOSPITAL DO CANCER DE MURIAE,31.0,1.0,31.0,1.0,0.0,0.0,51.285028,51.285028
50.0,municipality:311170,Canaã - MG,311170,MG-0008,31.0,1,facility:2195453,HOSPITAL DO CANCER DE MURIAE,31.0,1.0,31.0,1.0,0.0,0.0,55.272856,55.272856
50.0,municipality:432132,Taquaruçu do Sul - RS,432132,RS-0019,31.0,1,facility:2246988,HOSPITAL SAO VICENTE DE PAULO,31.0,1.0,31.0,1.0,0.0,0.0,141.609487,141.609487
50.0,municipality:431162,Lindolfo Collor - RS,431162,RS-0007,29.0,1,facility:2237601,HOSPITAL DE CLINICAS,29.0,1.0,29.0,1.0,0.0,0.0,50.781203,50.781203
50.0,municipality:311130,Campo do Meio - MG,311130,MG-0021,27.0,1,facility:2129566,HOSPITAL SANTA LUCIA HOSPITAL DO CORACAO,27.0,1.0,27.0,1.0,0.0,0.0,105.747959,105.747959
50.0,municipality:420245,Bombinhas - SC,420245,SC-0017,26.0,1,facility:6048692,HOSPITAL INFANTIL DR JESER AMARANTE FARIA,26.0,1.0,26.0,1.0,0.0,0.0,103.83671,103.83671
50.0,municipality:420435,Cordilheira Alta - SC,420435,SC-0010,23.0,1,facility:2410834,HOSPITAL ROGACIONISTA EVANGELICO,23.0,1.0,23.0,1.0,0.0,0.0,54.699607,54.699607
50.0,municipality:250960,Monte Horebe - PB,250960,PB-0009,22.0,1,facility:2407566,HOSPITAL MATERNIDADE JOAQUINA QUEIROZ,22.0,1.0,22.0,1.0,22.0,1.0,121.960015,121.960015
50.0,municipality:316690,Serrania - MG,316690,MG-0021,22.0,1,facility:2129566,HOSPITAL SANTA LUCIA HOSPITAL DO CORACAO,22.0,1.0,22.0,1.0,0.0,0.0,55.382302,55.382302
50.0,municipality:316880,Tiradentes - MG,316880,MG-0020,22.0,1,facility:0027014,SANTA CASA DE BELO HORIZONTE,22.0,1.0,22.0,1.0,0.0,0.0,134.662339,134.662339
50.0,municipality:521810,Portelândia - GO,521810,GO-0014,21.0,1,facility:6665322,HOSPITAL ESTADUAL DE SANTA HELENA DE GOIAS HERSO,21.0,1.0,21.0,1.0,0.0,0.0,230.581658,230.581658
50.0,municipality:280660,Santo Amaro das Brotas - SE,280660,SE-0003,20.0,1,facility:3094863,UNIDADE MISTA DE SAUDE DRA ANGELICA GUIMARAES,20.0,1.0,20.0,1.0,0.0,0.0,51.4295,51.4295
50.0,municipality:291855,Jussari - BA,291855,BA-0007,20.0,1,facility:9388133,HOSPITAL REGIONAL COSTA DO CACAU,20.0,1.0,20.0,1.0,0.0,0.0,61.812281,61.812281
50.0,municipality:312738,Goianá - MG,312738,MG-0005,19.0,1,facility:6431569,HOSPITAL MIGUEL ARRAES,19.0,1.0,19.0,1.0,19.0,1.0,1757.956958,1757.956958
50.0,municipality:421960,Xavantina - SC,421960,SC-0033,19.0,1,facility:2691469,HOSPITAL DE PENHA,19.0,1.0,19.0,1.0,0.0,0.0,365.747,365.747
50.0,municipality:351430,Dourado - SP,351430,SP-0203,18.0,1,facility:2082187,HOSPITAL DAS CLINICAS FAEPA RIBEIRAO PRETO,18.0,1.0,18.0,1.0,0.0,0.0,117.182251,117.182251
50.0,municipality:220040,Altos - PI,220040,PI-0004,17.0,1,facility:2324288,HOSP LOCAL DE LUZILANDIA,17.0,1.0,17.0,1.0,0.0,0.0,172.467879,172.467879
50.0,municipality:351320,Cristais Paulista - SP,351320,SP-0208,17.0,1,facility:2082187,HOSPITAL DAS CLINICAS FAEPA RIBEIRAO PRETO,17.0,1.0,17.0,1.0,0.0,0.0,99.767249,99.767249
50.0,municipality:355550,Ubirajara - SP,355550,SP-0209,17.0,1,facility:2083086,HOSPITAL AMARAL CARVALHO JAU,17.0,1.0,17.0,1.0,0.0,0.0,118.187634,118.187634
50.0,municipality:421223,Paraíso - SC,421223,SC-0001,17.0,1,facility:2537788,HOSPITAL REGIONAL DO OESTE,17.0,1.0,17.0,1.0,0.0,0.0,117.990658,117.990658
50.0,municipality:241380,Taboleiro Grande - RN,241380,RN-0006,16.0,1,facility:3675580,HOSPITAL DA LMECC,16.0,1.0,16.0,1.0,0.0,0.0,114.392862,114.392862
50.0,municipality:314880,Pedra do Anta - MG,314880,MG-0008,15.0,1,facility:2195453,HOSPITAL DO CANCER DE MURIAE,15.0,1.0,15.0,1.0,0.0,0.0,67.473965,67.473965
50.0,municipality:316557,Senador Amaral - MG,316557,MG-0010,15.0,1,facility:2089696,HOSPITAL GRAACC INSTITUTO DE ONCOLOGIA PEDIATRICA IOP,15.0,1.0,15.0,1.0,15.0,1.0,123.736216,123.736216
50.0,municipality:240390,Francisco Dantas - RN,240390,RN-0006,14.0,1,facility:2371707,HOSPITAL WILSON ROSADO,14.0,1.0,14.0,1.0,0.0,0.0,128.023263,128.023263
50.0,municipality:250550,Vista Serrana - PB,250550,PB-0006,14.0,1,facility:2381125,HOSP LINDOLFO FERNANDES,14.0,1.0,14.0,1.0,14.0,1.0,79.567948,79.567948
50.0,municipality:292920,São Francisco do Conde - BA,292920,BA-0001,14.0,1,facility:6602533,HOSPITAL ESTADUAL DA CRIANCA,14.0,1.0,14.0,1.0,0.0,0.0,59.571567,59.571567
50.0,municipality:311470,Carvalhópolis - MG,311470,MG-0021,14.0,1,facility:2129566,HOSPITAL SANTA LUCIA HOSPITAL DO CORACAO,14.0,1.0,14.0,1.0,0.0,0.0,75.484325,75.484325
50.0,municipality:350930,Cajobi - SP,350930,SP-0205,14.0,1,facility:2077396,HOSPITAL DE BASE DE SAO JOSE DO RIO PRETO,14.0,1.0,14.0,1.0,0.0,0.0,58.292636,58.292636
50.0,municipality:420209,Barra Bonita - SC,420209,SC-0005,14.0,1,facility:2737434,CEONC,14.0,1.0,14.0,1.0,14.0,1.0,189.90158,189.90158
50.0,municipality:430770,Esteio - RS,430770,RS-0001,14.0,1,facility:2255936,HOSPITAL ANA NERY,14.0,1.0,14.0,1.0,0.0,0.0,121.296946,121.296946
50.0,municipality:310780,Bom Jesus do Galho - MG,310780,MG-0023,13.0,1,facility:0027014,SANTA CASA DE BELO HORIZONTE,13.0,1.0,13.0,1.0,0.0,0.0,165.949431,165.949431
50.0,municipality:350770,Braúna - SP,350770,SP-0202,13.0,1,facility:2090236,FUNDACAO PIO XII BARRETOS,13.0,1.0,13.0,1.0,0.0,0.0,214.443531,214.443531
50.0,municipality:351250,Coroados - SP,351250,SP-0202,13.0,1,facility:6236596,HOSPITAL ESTADUAL JOAO PAULO II SAO JOSE DO RIO PRETO,13.0,1.0,13.0,1.0,0.0,0.0,116.548634,116.548634
50.0,municipality:411270,Jataizinho - PR,411270,PR-0017,13.0,1,facility:2576341,HONPAR HOSPITAL NORTE PARANAENSE,13.0,1.0,13.0,1.0,0.0,0.0,55.802935,55.802935
50.0,municipality:411660,Nova América da Colina - PR,411660,PR-0018,13.0,1,facility:2576341,HONPAR HOSPITAL NORTE PARANAENSE,13.0,1.0,13.0,1.0,0.0,0.0,76.023534,76.023534
50.0,municipality:421460,Rio do Oeste - SC,421460,SC-0004,13.0,1,facility:2691469,HOSPITAL DE PENHA,13.0,1.0,13.0,1.0,0.0,0.0,126.07979,126.07979
50.0,municipality:432162,Travesseiro - RS,432162,RS-0016,13.0,1,facility:3626245,HOSPITAL DE PRONTO SOCORRO PREF DR MARCOS ANTONIO RONCHETTI,13.0,1.0,13.0,1.0,0.0,0.0,110.492064,110.492064
50.0,municipality:230920,Nova Olinda - CE,230920,CE-0020,12.0,1,facility:2785900,HOSPITAL GERAL DR WALDEMAR ALCANTARA,12.0,1.0,12.0,1.0,0.0,0.0,385.597841,385.597841
50.0,municipality:250460,Conde - PB,250460,PB-0001,12.0,1,facility:2354551,HOSPITAL SAO LUIZ,12.0,1.0,12.0,1.0,12.0,1.0,116.773142,116.773142
50.0,municipality:280720,Siriri - SE,280720,SE-0003,12.0,1,facility:2421542,HOSPITAL REGIONAL GOV JOAO ALVES FILHO,12.0,1.0,12.0,1.0,0.0,0.0,51.105465,51.105465
50.0,municipality:310970,Cachoeira de Minas - MG,310970,MG-0010,12.0,1,facility:3004791,SARAH BELO HORIZONTE,12.0,1.0,12.0,1.0,0.0,0.0,328.694917,328.694917
50.0,municipality:312490,Eugenópolis - MG,312490,MG-0018,12.0,1,facility:0027014,SANTA CASA DE BELO HORIZONTE,12.0,1.0,12.0,1.0,0.0,0.0,214.776392,214.776392
50.0,municipality:350780,Brodowski - SP,350780,SP-0218,12.0,1,facility:2080222,SANTA CASA DE CACONDE,12.0,1.0,12.0,1.0,0.0,0.0,114.956234,114.956234
50.0,municipality:351750,Guapiaçu - SP,351750,SP-0215,12.0,1,facility:2082675,ASSOCIACAO DE AMPARO AO EXCEPCIONAL RITINHA PRATES,12.0,1.0,12.0,1.0,0.0,0.0,140.825155,140.825155
50.0,municipality:420165,Arvoredo - SC,420165,SC-0003,12.0,1,facility:7286082,HOSPITAL DA CRIANCA AUGUSTA MULLER BOHNER,12.0,1.0,12.0,1.0,0.0,0.0,63.722424,63.722424
50.0,municipality:420419,Chapadão do Lageado - SC,420419,SC-0004,12.0,1,facility:2691884,HOSPITAL DR WALDOMIRO COLAUTTI,12.0,1.0,12.0,1.0,0.0,0.0,58.045631,58.045631
50.0,municipality:431507,Porto Vera Cruz - RS,431507,RS-0014,12.0,1,facility:2261057,HOSPITAL DE CLINICAS IJUI,12.0,1.0,12.0,1.0,0.0,0.0,119.654521,119.654521
50.0,municipality:251120,Pedras de Fogo - PB,251120,PB-0012,11.0,1,facility:0220337,HOSPITAL DE CLINICAS DE CAMPINA GRANDE,11.0,1.0,11.0,1.0,0.0,0.0,89.795842,89.795842
50.0,municipality:311920,Coroaci - MG,311920,MG-0016,11.0,1,facility:2081482,BOLDRINI CAMPINAS,11.0,1.0,11.0,1.0,11.0,1.0,689.842129,689.842129
50.0,municipality:313320,Itanhomi - MG,313320,MG-0016,11.0,1,facility:0027014,SANTA CASA DE BELO HORIZONTE,11.0,1.0,11.0,1.0,0.0,0.0,236.387799,236.387799
50.0,municipality:314480,Nova Lima - MG,314480,MG-0002,11.0,1,facility:2098946,CENTRO HOSPITALAR PSIQUIATRICO DE BARBACENA,11.0,1.0,11.0,1.0,0.0,0.0,127.309154,127.309154
50.0,municipality:315380,Queluzito - MG,315380,MG-0003,11.0,1,facility:2200457,ASSOCIACAO MARIO PENNA,11.0,1.0,11.0,1.0,0.0,0.0,87.189923,87.189923
50.0,municipality:352500,Jandira - SP,352500,SP-0201,11.0,1,facility:2077396,HOSPITAL DE BASE DE SAO JOSE DO RIO PRETO,11.0,1.0,11.0,1.0,0.0,0.0,396.655285,396.655285
50.0,municipality:354080,Potirendaba - SP,354080,SP-0215,11.0,1,facility:2790734,INSTITUTO LAURO DE SOUZA LIMA BAURU,11.0,1.0,11.0,1.0,0.0,0.0,145.155634,145.155634
50.0,municipality:354120,Presidente Bernardes - SP,354120,SP-0211,11.0,1,facility:3001466,CENTRO HOSPITALAR DO SISTEMA PENITENCIARIO SAO PAULO,11.0,1.0,11.0,1.0,0.0,0.0,535.649521,535.649521
50.0,municipality:410755,Farol - PR,410755,PR-0011,11.0,1,facility:2737434,CEONC,11.0,1.0,11.0,1.0,0.0,0.0,125.300624,125.300624
50.0,municipality:410910,Guaporema - PR,410910,PR-0013,11.0,1,facility:7845138,UOPECCAN FILIAL UMUARAMA,11.0,1.0,11.0,1.0,0.0,0.0,66.477056,66.477056
50.0,municipality:420030,Agronômica - SC,420030,SC-0004,11.0,1,facility:2691469,HOSPITAL DE PENHA,11.0,1.0,11.0,1.0,0.0,0.0,122.951984,122.951984
50.0,municipality:521225,Lagoa Santa - GO,521225,GO-0014,11.0,1,facility:2375850,SANTA CASA DE MISERICORDIA DE PARANAIBA,11.0,1.0,11.0,1.0,11.0,1.0,56.155703,56.155703
50.0,municipality:211085,São Francisco do Brejão - MA,211085,MA-0010,10.0,1,facility:0001120,HOSPITAL PORTUGUES,10.0,1.0,10.0,1.0,10.0,1.0,1413.018778,1413.018778
50.0,municipality:230495,Guaiúba - CE,230495,CE-0003,10.0,1,facility:7061021,HOSPITAL REGIONAL DO SERTAO CENTRAL,10.0,1.0,10.0,1.0,0.0,0.0,136.907521,136.907521
50.0,municipality:240780,Monte Alegre - RN,240780,RN-0001,10.0,1,facility:4014111,HOSPITAL UNIVERSITARIO ANA BEZERRA,10.0,1.0,10.0,1.0,0.0,0.0,69.578228,69.578228
50.0,municipality:310300,Antônio Dias - MG,310300,MG-0023,10.0,1,facility:0027014,SANTA CASA DE BELO HORIZONTE,10.0,1.0,10.0,1.0,0.0,0.0,116.790519,116.790519
50.0,municipality:311220,Capela Nova - MG,311220,MG-0003,10.0,1,facility:2153106,INSTITUTO ONCOLOGICO DO BRASIL,10.0,1.0,10.0,1.0,0.0,0.0,98.566536,98.566536
50.0,municipality:313115,Ipaba - MG,313115,MG-0023,10.0,1,facility:0027049,HOSP DAS CLINICAS DA UNIV FED DE MINAS GERAIS EBSERH,10.0,1.0,10.0,1.0,0.0,0.0,172.997354,172.997354
50.0,municipality:314210,Miradouro - MG,314210,MG-0018,10.0,1,facility:2269783,CNES 2269783 (Rio de Janeiro - RJ),10.0,1.0,10.0,1.0,10.0,1.0,254.822609,254.822609
50.0,municipality:314890,Pedra do Indaiá - MG,314890,MG-0015,10.0,1,facility:0027014,SANTA CASA DE BELO HORIZONTE,10.0,1.0,10.0,1.0,0.0,0.0,141.961097,141.961097
50.0,municipality:316060,Santo Hipólito - MG,316060,MG-0014,10.0,1,facility:3004791,SARAH BELO HORIZONTE,10.0,1.0,10.0,1.0,0.0,0.0,172.579797,172.579797
50.0,municipality:352540,Jeriquara - SP,352540,SP-0208,10.0,1,facility:2082187,HOSPITAL DAS CLINICAS FAEPA RIBEIRAO PRETO,10.0,1.0,10.0,1.0,0.0,0.0,95.977491,95.977491
