distance_min_km,edge_type,source_health_region_id,target_health_region_id,flow,edges,source_region_total,share_of_source_region_flow,weighted_mean_distance_km
25.0,residence,PE-0002,PE-0001,24832.0,595,28252.0,0.878947,59.198128
25.0,residence,RS-0002,RS-0001,22908.0,325,29064.0,0.788192,44.475156
25.0,residence,GO-0018,DF-0006,22820.0,127,28748.0,0.793794,47.771108
25.0,residence,SP-0201,SP-0101,22354.0,460,29701.0,0.752635,33.031688
25.0,residence,PE-0004,PE-0001,19561.0,573,37344.0,0.523806,128.924288
25.0,residence,PE-0003,PE-0001,14878.0,419,19886.0,0.748165,80.035568
25.0,residence,CE-0002,CE-0001,14584.0,190,16468.0,0.885596,53.118978
25.0,residence,SP-0211,SP-0216,11838.0,110,15360.0,0.770703,58.871395
25.0,residence,RN-0001,RN-0007,10610.0,311,13489.0,0.786567,55.158478
25.0,residence,PA-0002,PA-0001,9742.0,174,11577.0,0.841496,69.429966
25.0,residence,BA-0003,BA-0001,8695.0,365,12738.0,0.682603,106.185108
25.0,residence,RN-0003,RN-0007,8633.0,267,9497.0,0.909024,83.704217
25.0,residence,BA-0012,BA-0001,7268.0,329,13420.0,0.54158,218.413369
25.0,residence,PE-0005,PE-0001,6760.0,266,14225.0,0.47522,206.402987
25.0,residence,MG-0015,MG-0002,6283.0,343,21650.0,0.290208,118.305087
25.0,residence,PA-0003,PA-0001,6050.0,141,10576.0,0.57205,85.390396
25.0,residence,BA-0015,PE-0008,6015.0,33,20536.0,0.2929,79.354238
25.0,residence,PA-0005,PA-0001,6012.0,176,24496.0,0.245428,156.267915
25.0,residence,PR-0020,PR-0010,5971.0,108,11993.0,0.497874,69.064549
25.0,residence,BA-0002,BA-0001,5950.0,257,11656.0,0.510467,110.443018
25.0,residence,RS-0018,RS-0001,5798.0,181,10553.0,0.549417,102.700951
25.0,residence,PR-0001,PR-0002,5597.0,107,7622.0,0.734322,75.314266
25.0,residence,PA-0004,PA-0001,5283.0,182,13654.0,0.38692,176.52319
25.0,residence,MG-0014,MG-0002,5104.0,256,13691.0,0.3728,119.137674
25.0,residence,MG-0030,MG-0006,5090.0,110,11929.0,0.426691,143.818958
25.0,residence,PE-0006,PE-0001,5064.0,183,12246.0,0.413523,272.519786
25.0,residence,CE-0003,CE-0001,4911.0,113,7442.0,0.659903,45.38545
25.0,residence,PR-0003,PR-0002,4908.0,109,11071.0,0.44332,93.24474
25.0,residence,ES-0001,ES-0003,4830.0,75,57029.0,0.084694,61.573117
25.0,residence,SP-0105,SP-0101,4823.0,84,5262.0,0.916572,30.787651
25.0,residence,PB-0002,PB-0001,4716.0,231,5632.0,0.837358,84.472341
25.0,residence,ES-0002,ES-0001,4658.0,207,14793.0,0.314879,106.177697
25.0,residence,PA-0006,PA-0001,4653.0,81,9622.0,0.483579,95.111441
25.0,residence,GO-0002,DF-0006,4615.0,77,15106.0,0.305508,78.261905
25.0,residence,CE-0010,CE-0001,4563.0,174,6119.0,0.74571,197.504877
25.0,residence,SP-0205,SP-0005,4472.0,33,5616.0,0.796296,41.761843
25.0,residence,CE-0008,CE-0001,4425.0,145,8976.0,0.492981,186.664933
25.0,residence,CE-0013,CE-0011,4353.0,40,8036.0,0.541687,82.093953
25.0,residence,ES-0001,ES-0002,4352.0,90,57029.0,0.076312,53.737875
25.0,residence,CE-0012,CE-0011,4294.0,31,7123.0,0.602836,77.768296
25.0,residence,CE-0009,CE-0001,4292.0,99,6786.0,0.632479,143.392406
25.0,residence,PE-0012,PE-0001,4291.0,121,5218.0,0.822346,75.332367
25.0,residence,PI-0006,PI-0004,4251.0,167,6044.0,0.703342,102.603809
25.0,residence,RN-0005,RN-0007,4235.0,199,6662.0,0.635695,84.109171
25.0,residence,GO-0009,GO-0001,4220.0,194,6239.0,0.67639,151.794037
25.0,residence,PI-0005,PI-0004,4191.0,149,6211.0,0.674771,110.832661
25.0,residence,AL-0002,AL-0001,4176.0,115,7456.0,0.560086,55.749973
25.0,residence,MG-0009,MG-0002,4056.0,201,7846.0,0.516951,94.428613
25.0,residence,PE-0008,BA-0015,3955.0,19,21485.0,0.184082,60.631826
25.0,residence,MA-0003,MA-0001,3839.0,138,7589.0,0.505864,117.959516
25.0,residence,CE-0006,CE-0001,3785.0,101,4121.0,0.918466,120.352576
25.0,residence,SE-0002,SE-0008,3714.0,74,4957.0,0.749243,53.345743
25.0,residence,GO-0018,GO-0001,3587.0,110,28748.0,0.124774,152.421578
25.0,residence,PR-0021,PR-0002,3535.0,79,6770.0,0.522157,173.581009
25.0,residence,SP-0218,SP-0213,3518.0,19,3566.0,0.98654,41.526779
25.0,residence,SP-0217,SP-3517,3481.0,42,11663.0,0.298465,47.973078
25.0,residence,GO-0007,GO-0001,3473.0,129,9427.0,0.36841,158.44565
25.0,residence,SP-0102,SP-0101,3473.0,64,3943.0,0.880801,28.804404
25.0,residence,SE-0001,SE-0008,3468.0,64,6698.0,0.517766,76.777975
25.0,residence,SP-0101,SP-0201,3431.0,17,49979.0,0.068649,38.019298
25.0,residence,PB-0012,PB-0001,3425.0,138,5027.0,0.681321,50.830248
25.0,residence,SC-0023,SC-0022,3336.0,19,3791.0,0.879979,36.728845
25.0,residence,PI-0002,PI-0004,3291.0,122,6854.0,0.480158,134.199735
25.0,residence,AM-0007,AM-0001,3283.0,130,13884.0,0.236459,117.25938
25.0,residence,PA-0011,PA-0001,3278.0,138,39231.0,0.083556,442.520861
25.0,residence,BA-0016,BA-0001,3234.0,186,7777.0,0.415842,295.762389
25.0,residence,RN-0004,RN-0007,3191.0,162,7056.0,0.452239,182.760022
25.0,residence,CE-0007,CE-0001,3181.0,80,3740.0,0.850535,119.04123
25.0,residence,PR-0019,PR-0017,3129.0,97,9881.0,0.316668,125.015445
25.0,residence,GO-0006,GO-0001,3063.0,133,6109.0,0.501391,161.927196
25.0,residence,CE-0004,CE-0001,3062.0,121,4032.0,0.759425,84.11366
25.0,residence,MG-0004,MG-0002,3044.0,207,17699.0,0.171987,245.671982
25.0,residence,SE-0003,SE-0008,2997.0,59,3442.0,0.870715,41.379758
25.0,residence,BA-0004,BA-0001,2965.0,179,6482.0,0.457421,77.282906
25.0,residence,PE-0005,PE-0004,2951.0,69,14225.0,0.207452,97.59681
25.0,residence,PA-0005,PA-0003,2940.0,37,24496.0,0.12002,94.852184
25.0,residence,SE-0004,SE-0008,2908.0,64,5064.0,0.57425,111.145953
25.0,residence,MA-0002,MA-0001,2896.0,115,5075.0,0.57064,69.240698
25.0,residence,ES-0004,ES-0001,2895.0,97,11734.0,0.246719,156.200072
25.0,residence,ES-0003,ES-0001,2861.0,156,13165.0,0.217319,138.86922
25.0,residence,BA-0012,BA-0002,2858.0,86,13420.0,0.212966,111.85032
25.0,residence,GO-0002,GO-0001,2854.0,124,15106.0,0.188932,300.91398
25.0,residence,BA-0021,BA-0001,2815.0,184,8804.0,0.319741,413.001204
25.0,residence,SE-0005,SE-0008,2800.0,83,3656.0,0.765864,65.65754
25.0,residence,PR-0014,PR-0015,2791.0,107,8566.0,0.325823,90.710119
