cnes;competence;ibge_id;municipality_code;municipality_name;uf;vinc_sus;atendhos;leithosp;niv_dep;nat_jur;is_sus_linked;has_hospital_care;has_hospital_beds;is_public_admin;is_public_hospital;name;latitude;longitude;coordinate_source;name_source
5701929;2101;1200013;120001;Acrelândia;AC;1;1;1;3;1023;1;1;1;1;1;CNES 5701929 (Acrelândia - AC);-9.933928269211487;-66.95015195086144;ibge_malha;synthetic_municipality
2001020;2101;1200054;120005;Assis Brasil;AC;1;1;1;3;1023;1;1;1;1;1;CNES 2001020 (Assis Brasil - AC);-10.779758304359087;-70.00567182389328;ibge_malha;synthetic_municipality
2001500;2101;1200104;120010;Brasiléia;AC;1;1;1;3;1023;1;1;1;1;1;CNES 2001500 (Brasiléia - AC);-10.747368180166763;-69.20747092330322;ibge_malha;synthetic_municipality
2000172;2101;1200203;120020;Cruzeiro do Sul;AC;1;0;1;3;1023;1;0;1;1;1;CNES 2000172 (Cruzeiro do Sul - AC);-7.971865907484339;-72.75480801397109;ibge_malha;synthetic_municipality
2000296;2101;1200203;120020;Cruzeiro do Sul;AC;1;1;1;3;1023;1;1;1;1;1;CNES 2000296 (Cruzeiro do Sul - AC);-7.971865907484339;-72.75480801397109;ibge_malha;synthetic_municipality
3959082;2101;1200203;120020;Cruzeiro do Sul;AC;1;1;0;3;1023;1;1;0;1;1;CNES 3959082 (Cruzeiro do Sul - AC);-7.971865907484339;-72.75480801397109;ibge_malha;synthetic_municipality
5336171;2101;1200203;120020;Cruzeiro do Sul;AC;1;1;1;3;1023;1;1;1;1;1;CNES 5336171 (Cruzeiro do Sul - AC);-7.971865907484339;-72.75480801397109;ibge_malha;synthetic_municipality
2000636;2101;1200302;120030;Feijó;AC;1;1;1;3;1023;1;1;1;1;1;CNES 2000636 (Feijó - AC);-8.92441953086217;-70.74476349462839;ibge_malha;synthetic_municipality
5353947;2101;1200328;120032;Jordão;AC;1;1;1;3;1023;1;1;1;1;1;CNES 5353947 (Jordão - AC);-9.242648663110273;-71.9061065810261;ibge_malha;synthetic_municipality
2000083;2101;1200336;120033;Mâncio Lima;AC;1;1;1;3;1023;1;1;1;1;1;CNES 2000083 (Mâncio Lima - AC);-7.504426008096305;-73.43908274209865;ibge_malha;synthetic_municipality
2000970;2101;1200344;120034;Manoel Urbano;AC;1;1;1;3;1023;1;1;1;1;1;CNES 2000970 (Manoel Urbano - AC);-9.381121415294164;-69.85378482703491;ibge_malha;synthetic_municipality
2001594;2101;1200351;120035;Marechal Thaumaturgo;AC;1;1;1;3;1023;1;1;1;1;1;CNES 2001594 (Marechal Thaumaturgo - AC);-9.096289522504389;-72.55923900774451;ibge_malha;synthetic_municipality
2000822;2101;1200385;120038;Plácido de Castro;AC;1;1;1;3;1023;1;1;1;1;1;CNES 2000822 (Plácido de Castro - AC);-10.249084663234742;-67.34031867614065;ibge_malha;synthetic_municipality
2000997;2101;1200385;120038;Plácido de Castro;AC;1;1;1;3;1023;1;1;1;1;1;CNES 2000997 (Plácido de Castro - AC);-10.249084663234742;-67.34031867614065;ibge_malha;synthetic_municipality
5661714;2101;1200393;120039;Porto Walter;AC;1;1;1;3;1023;1;1;1;1;1;CNES 5661714 (Porto Walter - AC);-8.491902917557796;-72.73356008077668;ibge_malha;synthetic_municipality
2000385;2101;1200401;120040;Rio Branco;AC;1;0;1;3;1023;1;0;1;1;1;CNES 2000385 (Rio Branco - AC);-10.066131205913743;-68.37106790920028;ibge_malha;synthetic_municipality
2000733;2101;1200401;120040;Rio Branco;AC;1;1;1;3;1023;1;1;1;1;1;CNES 2000733 (Rio Branco - AC);-10.066131205913743;-68.37106790920028;ibge_malha;synthetic_municipality
2001578;2101;1200401;120040;Rio Branco;AC;1;1;1;3;1023;1;1;1;1;1;CNES 2001578 (Rio Branco - AC);-10.066131205913743;-68.37106790920028;ibge_malha;synthetic_municipality
2001586;2101;1200401;120040;Rio Branco;AC;1;1;1;1;1147;1;1;1;1;1;CNES 2001586 (Rio Branco - AC);-10.066131205913743;-68.37106790920028;ibge_malha;synthetic_municipality
5625645;2101;1200401;120040;Rio Branco;AC;1;1;0;1;2062;1;1;0;1;1;CNES 5625645 (Rio Branco - AC);-10.066131205913743;-68.37106790920028;ibge_malha;synthetic_municipality
6497314;2101;1200401;120040;Rio Branco;AC;1;1;1;1;3999;1;1;1;1;1;CNES 6497314 (Rio Branco - AC);-10.066131205913743;-68.37106790920028;ibge_malha;synthetic_municipality
9246010;2101;1200401;120040;Rio Branco;AC;1;1;1;1;2062;1;1;1;1;1;CNES 9246010 (Rio Branco - AC);-10.066131205913743;-68.37106790920028;ibge_malha;synthetic_municipality
2000024;2101;1200427;120042;Rodrigues Alves;AC;1;1;1;3;1023;1;1;1;1;1;CNES 2000024 (Rodrigues Alves - AC);-7.8438394119060755;-73.22345530295745;ibge_malha;synthetic_municipality
5858208;2101;1200435;120043;Santa Rosa do Purus;AC;1;1;1;3;1023;1;1;1;1;1;CNES 5858208 (Santa Rosa do Purus - AC);-9.410647767619471;-70.39579446395867;ibge_malha;synthetic_municipality
2000725;2101;1200450;120045;Senador Guiomard;AC;1;1;1;3;1023;1;1;1;1;1;CNES 2000725 (Senador Guiomard - AC);-9.997214534056965;-67.42758732557158;ibge_malha;synthetic_municipality
2000865;2101;1200500;120050;Sena Madureira;AC;1;1;1;3;1023;1;1;1;1;1;CNES 2000865 (Sena Madureira - AC);-9.771419758794265;-69.38180101184211;ibge_malha;synthetic_municipality
