cnes;municipality_code;uf;health_region_code;health_region_id;source_file
0153281;120001;AC;;;STAC2101.dbf
0257184;120001;AC;;;STAC2101.dbf
0258555;120001;AC;;;STAC2101.dbf
0271438;120001;AC;;;STAC2101.dbf
0282235;120001;AC;;;STAC2101.dbf
3006166;120001;AC;;;STAC2101.dbf
3382745;120001;AC;;;STAC2101.dbf
3393984;120001;AC;;;STAC2101.dbf
3638685;120001;AC;;;STAC2101.dbf
5403669;120001;AC;;;STAC2101.dbf
5701929;120001;AC;0001;AC-0001;STAC2101.dbf
6514669;120001;AC;;;STAC2101.dbf
7026641;120001;AC;;;STAC2101.dbf
7245890;120001;AC;;;STAC2101.dbf
7669135;120001;AC;0001;AC-0001;STAC2101.dbf
9639896;120001;AC;;;STAC2101.dbf
0281735;120005;AC;;;STAC2101.dbf
2001020;120005;AC;0002;AC-0002;STAC2101.dbf
2003066;120005;AC;0002;AC-0002;STAC2101.dbf
3797554;120005;AC;0002;AC-0002;STAC2101.dbf
6289959;120005;AC;0002;AC-0002;STAC2101.dbf
6428940;120005;AC;0002;AC-0002;STAC2101.dbf
7051808;120005;AC;;;STAC2101.dbf
7436440;120005;AC;0002;AC-0002;STAC2101.dbf
7520018;120005;AC;0002;AC-0002;STAC2101.dbf
7662130;120005;AC;;;STAC2101.dbf
7827547;120005;AC;;;STAC2101.dbf
9408142;120005;AC;;;STAC2101.dbf
0115312;120010;AC;0002;AC-0002;STAC2101.dbf
0266957;120010;AC;;;STAC2101.dbf
0469548;120010;AC;;;STAC2101.dbf
2001349;120010;AC;;;STAC2101.dbf
2001357;120010;AC;;;STAC2101.dbf
2001454;120010;AC;;;STAC2101.dbf
2001462;120010;AC;;;STAC2101.dbf
2001470;120010;AC;;;STAC2101.dbf
2001497;120010;AC;;;STAC2101.dbf
2001500;120010;AC;;;STAC2101.dbf
3042553;120010;AC;;;STAC2101.dbf
3518655;120010;AC;0002;AC-0002;STAC2101.dbf
3968308;120010;AC;;;STAC2101.dbf
6249256;120010;AC;0002;AC-0002;STAC2101.dbf
6568726;120010;AC;0003;AC-0003;STAC2101.dbf
7030789;120010;AC;;;STAC2101.dbf
7058322;120010;AC;;;STAC2101.dbf
7505035;120010;AC;;;STAC2101.dbf
7642865;120010;AC;;;STAC2101.dbf
7671652;120010;AC;;;STAC2101.dbf
7845375;120010;AC;;;STAC2101.dbf
9830464;120010;AC;;;STAC2101.dbf
9948759;120010;AC;;;STAC2101.dbf
0270725;120013;AC;;;STAC2101.dbf
2002876;120013;AC;;;STAC2101.dbf
2002884;120013;AC;;;STAC2101.dbf
3516822;120013;AC;;;STAC2101.dbf
6559670;120013;AC;;;STAC2101.dbf
9079807;120013;AC;0001;AC-0001;STAC2101.dbf
9370099;120013;AC;0001;AC-0001;STAC2101.dbf
9444211;120013;AC;;;STAC2101.dbf
9444270;120013;AC;;;STAC2101.dbf
9792937;120013;AC;;;STAC2101.dbf
0475947;120017;AC;;;STAC2101.dbf
2001039;120017;AC;;;STAC2101.dbf
2002892;120017;AC;;;STAC2101.dbf
2002906;120017;AC;;;STAC2101.dbf
5086949;120017;AC;;;STAC2101.dbf
6192084;120017;AC;;;STAC2101.dbf
6437613;120017;AC;;;STAC2101.dbf
7557035;120017;AC;;;STAC2101.dbf
9079815;120017;AC;0001;AC-0001;STAC2101.dbf
9679189;120017;AC;;;STAC2101.dbf
9946691;120017;AC;;;STAC2101.dbf
0115118;120020;AC;0003;AC-0003;STAC2101.dbf
0115606;120020;AC;;;STAC2101.dbf
0131962;120020;AC;;;STAC2101.dbf
0197599;120020;AC;;;STAC2101.dbf
0256102;120020;AC;;;STAC2101.dbf
0256498;120020;AC;;;STAC2101.dbf
2000172;120020;AC;0003;AC-0003;STAC2101.dbf
2000202;120020;AC;0002;AC-0002;STAC2101.dbf
2000210;120020;AC;;;STAC2101.dbf
2000229;120020;AC;0002;AC-0002;STAC2101.dbf
2000237;120020;AC;0002;AC-0002;STAC2101.dbf
2000245;120020;AC;0002;AC-0002;STAC2101.dbf
2000253;120020;AC;0002;AC-0002;STAC2101.dbf
2000261;120020;AC;0002;AC-0002;STAC2101.dbf
2000288;120020;AC;0002;AC-0002;STAC2101.dbf
2000296;120020;AC;0003;AC-0003;STAC2101.dbf
2000318;120020;AC;0002;AC-0002;STAC2101.dbf
2000326;120020;AC;0002;AC-0002;STAC2101.dbf
2000334;120020;AC;0002;AC-0002;STAC2101.dbf
2000342;120020;AC;0002;AC-0002;STAC2101.dbf
2000350;120020;AC;0002;AC-0002;STAC2101.dbf
2000369;120020;AC;0002;AC-0002;STAC2101.dbf
2000539;120020;AC;0003;AC-0003;STAC2101.dbf
2000547;120020;AC;;;STAC2101.dbf
2000555;120020;AC;;;STAC2101.dbf
2000571;120020;AC;;;STAC2101.dbf
2000598;120020;AC;;;STAC2101.dbf
2000601;120020;AC;;;STAC2101.dbf
2000628;120020;AC;;;STAC2101.dbf
2001888;120020;AC;;;STAC2101.dbf
2001896;120020;AC;;;STAC2101.dbf
2002116;120020;AC;;;STAC2101.dbf
2002299;120020;AC;0002;AC-0002;STAC2101.dbf
2002302;120020;AC;0002;AC-0002;STAC2101.dbf
2002396;120020;AC;0002;AC-0002;STAC2101.dbf
2002914;120020;AC;0002;AC-0002;STAC2101.dbf
3015424;120020;AC;;;STAC2101.dbf
3309789;120020;AC;;;STAC2101.dbf
