ibge_id;municipality_code;municipality_name;uf;latitude;longitude;coordinate_source
1100015;110001;Alta Floresta D'Oeste;RO;-12.47014368531373;-62.27465408245348;ibge_malha
1100023;110002;Ariquemes;RO;-9.951896428276132;-62.95723231865808;ibge_malha
1100031;110003;Cabixi;RO;-13.474876845863225;-60.63980966263928;ibge_malha
1100049;110004;Cacoal;RO;-11.301290378188684;-61.324724574322055;ibge_malha
1100056;110005;Cerejeiras;RO;-13.203557612495452;-61.260965603853606;ibge_malha
1100064;110006;Colorado do Oeste;RO;-13.15916103825189;-60.55023309863084;ibge_malha
1100072;110007;Corumbiara;RO;-12.9266393597588;-61.091637396724046;ibge_malha
1100080;110008;Costa Marques;RO;-12.147253154399747;-64.05878672789686;ibge_malha
1100098;110009;Espigão D'Oeste;RO;-11.351335464906661;-60.78482721093624;ibge_malha
1100106;110010;Guajará-Mirim;RO;-11.305630593818426;-64.53755683723685;ibge_malha
1100114;110011;Jaru;RO;-10.592460137463704;-62.58488116891367;ibge_malha
1100122;110012;Ji-Paraná;RO;-10.462222605699708;-61.75725079845587;ibge_malha
1100130;110013;Machadinho D'Oeste;RO;-9.204098808806991;-62.010378549810945;ibge_malha
1100148;110014;Nova Brasilândia D'Oeste;RO;-11.6431146370112;-62.28023613926105;ibge_malha
1100155;110015;Ouro Preto do Oeste;RO;-10.610552491070658;-62.172530342984324;ibge_malha
1100189;110018;Pimenta Bueno;RO;-11.894471827315321;-60.83039312248625;ibge_malha
1100205;110020;Porto Velho;RO;-9.153582029071595;-64.30679728499692;ibge_malha
1100254;110025;Presidente Médici;RO;-11.166277420702084;-61.87795231472838;ibge_malha
1100262;110026;Rio Crespo;RO;-9.645210077048704;-62.79007626417293;ibge_malha
1100288;110028;Rolim de Moura;RO;-11.732554414967586;-61.7715500179972;ibge_malha
1100296;110029;Santa Luzia D'Oeste;RO;-12.026968596109848;-61.70109775054519;ibge_malha
1100304;110030;Vilhena;RO;-12.095619920883998;-60.248424697352945;ibge_malha
1100320;110032;São Miguel do Guaporé;RO;-11.614983599778059;-62.98323455209439;ibge_malha
1100338;110033;Nova Mamoré;RO;-10.382156532778131;-64.62911576568528;ibge_malha
1100346;110034;Alvorada D'Oeste;RO;-11.311418556329599;-62.54500153402202;ibge_malha
1100379;110037;Alto Alegre dos Parecis;RO;-12.593729287870485;-61.88080530809895;ibge_malha
1100403;110040;Alto Paraíso;RO;-9.649317221626225;-63.394318282629094;ibge_malha
1100452;110045;Buritis;RO;-10.052108298328683;-63.94116070066155;ibge_malha
1100502;110050;Novo Horizonte do Oeste;RO;-11.681082297544068;-62.083202388303086;ibge_malha
1100601;110060;Cacaulândia;RO;-10.331601925625403;-62.98724914352588;ibge_malha
1100700;110070;Campo Novo de Rondônia;RO;-10.484933400749211;-63.79971720805914;ibge_malha
1100809;110080;Candeias do Jamari;RO;-8.887001905657316;-63.32561829701239;ibge_malha
1100908;110090;Castanheiras;RO;-11.470803117996295;-61.88006496775121;ibge_malha
1100924;110092;Chupinguaia;RO;-12.537343818496806;-60.89839058992591;ibge_malha
1100940;110094;Cujubim;RO;-9.171072080101066;-62.56533043310603;ibge_malha
1101005;110100;Governador Jorge Teixeira;RO;-10.748029748176751;-63.184010536717835;ibge_malha
1101104;110110;Itapuã do Oeste;RO;-9.170222105837812;-63.04495045294163;ibge_malha
1101203;110120;Ministro Andreazza;RO;-11.160295063304758;-61.56897068243121;ibge_malha
1101302;110130;Mirante da Serra;RO;-11.076829508983419;-62.84795457364534;ibge_malha
1101401;110140;Monte Negro;RO;-10.210826165829038;-63.372382523118574;ibge_malha
1101435;110143;Nova União;RO;-10.889344691103183;-62.53232770273223;ibge_malha
1101450;110145;Parecis;RO;-12.26232698591131;-61.41537800388732;ibge_malha
1101468;110146;Pimenteiras do Oeste;RO;-13.173881345897986;-61.5452964482075;ibge_malha
1101476;110147;Primavera de Rondônia;RO;-11.87866712203235;-61.31533457457644;ibge_malha
1101484;110148;São Felipe D'Oeste;RO;-11.904990822213554;-61.46707946043683;ibge_malha
1101492;110149;São Francisco do Guaporé;RO;-12.368398188757178;-63.1221566582903;ibge_malha
1101500;110150;Seringueiras;RO;-11.807216878679258;-63.23069277625259;ibge_malha
1101559;110155;Teixeirópolis;RO;-10.943448591105241;-62.27976956545769;ibge_malha
1101609;110160;Theobroma;RO;-10.121767259314531;-62.34250473675392;ibge_malha
1101708;110170;Urupá;RO;-11.103953857841589;-62.42441469996684;ibge_malha
1101757;110175;Vale do Anari;RO;-9.732446148664613;-61.939104835524134;ibge_malha
