municipality_code;uf;health_region_code;health_region_id;establishment_rows;selected_region_rows;distinct_region_codes;region_conflict;source
110001;RO;;;37;0;;False;CNES_ST_REGSAUDE_MODE
110002;RO;0004;RO-0004;140;2;0004;False;CNES_ST_REGSAUDE_MODE
110003;RO;;;11;0;;False;CNES_ST_REGSAUDE_MODE
110004;RO;;;379;0;;False;CNES_ST_REGSAUDE_MODE
110005;RO;;;25;0;;False;CNES_ST_REGSAUDE_MODE
110006;RO;;;21;0;;False;CNES_ST_REGSAUDE_MODE
110007;RO;;;13;0;;False;CNES_ST_REGSAUDE_MODE
110008;RO;;;9;0;;False;CNES_ST_REGSAUDE_MODE
110009;RO;;;46;0;;False;CNES_ST_REGSAUDE_MODE
110010;RO;;;45;0;;False;CNES_ST_REGSAUDE_MODE
110011;RO;;;140;0;;False;CNES_ST_REGSAUDE_MODE
110012;RO;;;456;0;;False;CNES_ST_REGSAUDE_MODE
110013;RO;;;31;0;;False;CNES_ST_REGSAUDE_MODE
110014;RO;;;24;0;;False;CNES_ST_REGSAUDE_MODE
110015;RO;;;84;0;;False;CNES_ST_REGSAUDE_MODE
110018;RO;0217;RO-0217;127;1;0217;False;CNES_ST_REGSAUDE_MODE
110020;RO;;;964;0;;False;CNES_ST_REGSAUDE_MODE
110025;RO;;;34;0;;False;CNES_ST_REGSAUDE_MODE
110026;RO;;;5;0;;False;CNES_ST_REGSAUDE_MODE
110028;RO;;;135;0;;False;CNES_ST_REGSAUDE_MODE
110029;RO;;;12;0;;False;CNES_ST_REGSAUDE_MODE
110030;RO;;;333;0;;False;CNES_ST_REGSAUDE_MODE
110032;RO;;;37;0;;False;CNES_ST_REGSAUDE_MODE
110033;RO;;;17;0;;False;CNES_ST_REGSAUDE_MODE
110034;RO;;;26;0;;False;CNES_ST_REGSAUDE_MODE
110037;RO;0005;RO-0005;23;1;0005;False;CNES_ST_REGSAUDE_MODE
110040;RO;0004;RO-0004;20;2;0004;False;CNES_ST_REGSAUDE_MODE
110045;RO;;;36;0;;False;CNES_ST_REGSAUDE_MODE
110050;RO;;;7;0;;False;CNES_ST_REGSAUDE_MODE
110060;RO;;;7;0;;False;CNES_ST_REGSAUDE_MODE
110070;RO;;;15;0;;False;CNES_ST_REGSAUDE_MODE
110080;RO;;;15;0;;False;CNES_ST_REGSAUDE_MODE
110090;RO;;;6;0;;False;CNES_ST_REGSAUDE_MODE
110092;RO;;;22;0;;False;CNES_ST_REGSAUDE_MODE
110094;RO;;;10;0;;False;CNES_ST_REGSAUDE_MODE
110100;RO;;;12;0;;False;CNES_ST_REGSAUDE_MODE
110110;RO;;;10;0;;False;CNES_ST_REGSAUDE_MODE
110120;RO;;;13;0;;False;CNES_ST_REGSAUDE_MODE
110130;RO;;;12;0;;False;CNES_ST_REGSAUDE_MODE
110140;RO;;;15;0;;False;CNES_ST_REGSAUDE_MODE
