facility_node_id;admissions;deaths;regulated_transfer_exits;median_stay_days;icu_marker_count;total_value;dominant_icd_chapter;dominant_sex;dominant_race_color;mean_age;mean_stay_days;death_rate;regulated_transfer_exit_rate;icu_marker_rate;mean_value_per_admission
facility:0000035;491;32;217;5.0;491;253922.27;J;1;99;61.316;6.173;0.065173;0.441955;1.0;517.15
facility:0000094;1375;1;2;2.0;1375;618320.78;O;3;03;21.063;2.762;0.000727;0.001455;1.0;449.69
facility:0000418;17252;1081;625;5.0;17252;35927947.36;O;3;03;41.474;6.754;0.062659;0.036228;1.0;2082.54
facility:0000426;17854;1158;2077;4.0;17854;30613647.63;S;1;03;41.763;6.892;0.064859;0.116332;1.0;1714.67
facility:0000434;40069;1520;644;3.0;40069;116161805.73;C;3;99;32.543;4.979;0.037935;0.016072;1.0;2899.04
facility:0000477;17098;524;74;2.0;17098;43427937.9;C;3;03;43.837;3.896;0.030647;0.004328;1.0;2539.94
facility:0000485;2818;0;0;0.0;2818;4461577.49;H;1;03;58.367;0.013;0.0;0.0;1.0;1583.24
facility:0000531;285;6;229;4.0;285;427500.0;B;3;03;54.586;4.305;0.021053;0.803509;1.0;1500.0
facility:0000566;5695;242;240;1.0;5695;7998537.86;N;1;03;30.189;4.176;0.042493;0.042142;1.0;1404.48
facility:0000582;13718;1304;90;2.75;13718;37066970.22;C;3;03;53.355;4.389;0.095058;0.006561;1.0;2702.07
facility:0000604;735;15;577;1.0;735;654082.8;J;3;99;60.789;1.268;0.020408;0.785034;1.0;889.91
facility:0000655;35962;4050;2672;5.0;35962;75805362.78;I;1;03;45.236;7.121;0.112619;0.074301;1.0;2107.93
facility:0000671;3743;0;33;2.0;3743;1946637.79;O;3;99;20.704;2.627;0.0;0.008816;1.0;520.07
facility:0000701;4327;0;134;2.0;4327;2256213.79;O;3;03;21.262;2.514;0.0;0.030968;1.0;521.43
facility:0000809;2089;54;2;7.0;2089;2803234.56;D;1;03;36.539;7.064;0.02585;0.000957;1.0;1341.9
facility:0000981;1963;141;92;13.5;1963;5095803.95;B;1;99;38.181;13.327;0.071829;0.046867;1.0;2595.93
facility:0001015;3038;0;31;2.0;3038;1301656.17;J;1;03;4.653;3.374;0.0;0.010204;1.0;428.46
facility:0001120;6358;460;632;5.0;6358;58469139.11;I;1;99;48.894;7.011;0.07235;0.099402;1.0;9196.15
facility:0001546;3375;11;1009;8.0;3375;1869303.62;F;1;03;37.121;10.937;0.003259;0.298963;1.0;553.87
facility:0002232;16128;158;87;2.0;16128;19016087.5;O;3;03;24.043;3.255;0.009797;0.005394;1.0;1179.07
facility:0002275;2779;80;173;1.0;2779;5001615.57;F;3;99;42.282;5.617;0.028787;0.062253;1.0;1799.79
facility:0002283;7426;494;19;4.0;7426;38313943.58;I;1;99;56.164;6.527;0.066523;0.002559;1.0;5159.43
facility:0002372;1236;88;616;3.0;1236;1104204.27;B;1;99;48.365;3.855;0.071197;0.498382;1.0;893.37
facility:0002534;3352;152;14;2.0;3352;6325427.62;K;3;99;40.816;7.208;0.045346;0.004177;1.0;1887.06
facility:0003417;91;0;0;1.0;91;112047.62;C;3;99;44.747;1.0;0.0;0.0;1.0;1231.29
facility:0003581;106;0;0;0.0;106;338021.79;H;1;99;58.104;0.0;0.0;0.0;1.0;3188.88
facility:0003778;6756;273;54;2.0;6756;4204467.71;N;3;03;46.969;3.42;0.040409;0.007993;1.0;622.33
