node_id;node_type;name;municipality_code;latitude;longitude;capacity_beds;habilitation_level;is_public_hospital;analysis_scope;is_sus_linked;has_hospital_care;has_hospital_beds;is_public_admin;is_public_hospital_ref;coordinate_source;name_source;admissions;deaths;regulated_transfer_exits;median_stay_days;icu_marker_count;total_value;dominant_icd_chapter;dominant_sex;dominant_race_color;mean_age;mean_stay_days;death_rate;regulated_transfer_exit_rate;icu_marker_rate;mean_value_per_admission
facility:0000035;facility;HOSPITAL MENDO SAMPAIO;260290;-8.292214339969746;-35.04819802058195;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;491.0;32.0;217.0;5.0;491.0;253922.27;J;1;99;61.316;6.173;0.065173;0.441955;1.0;517.15
facility:0000094;facility;MATERNIDADE PADRE GERALDO LEITE BASTOS;260290;-8.232359947405369;-34.97720999030816;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;1375.0;1.0;2.0;2.0;1375.0;618320.78;O;3;03;21.063;2.762;0.000727;0.001455;1.0;449.69
facility:0000396;facility;HOSPITAL DAS CLINICAS;261160;-8.04750180385578;-34.946136474609375;;;False;excluded_non_public_hospital;;;;;;;;;;;;;;;;;;;;;;
facility:0000418;facility;HOSPITAL AGAMENON MAGALHAES;261160;-8.030155;-34.90701109170914;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;17252.0;1081.0;625.0;5.0;17252.0;35927947.36;O;3;03;41.474;6.754;0.062659;0.036228;1.0;2082.54
facility:0000426;facility;HOSPITAL OTAVIO DE FREITAS;261160;-8.087400508649779;-34.96220827102661;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;17854.0;1158.0;2077.0;4.0;17854.0;30613647.63;S;1;03;41.763;6.892;0.064859;0.116332;1.0;1714.67
facility:0000434;facility;IMIP;261160;-8.066803665829326;-34.89079713821411;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;40069.0;1520.0;644.0;3.0;40069.0;116161805.73;C;3;99;32.543;4.979;0.037935;0.016072;1.0;2899.04
facility:0000477;facility;HOSPITAL OSWALDO CRUZ;261160;-8.047589445099332;-34.8876616358757;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;17098.0;524.0;74.0;2.0;17098.0;43427937.9;C;3;03;43.837;3.896;0.030647;0.004328;1.0;2539.94
facility:0000485;facility;FUNDACAO ALTINO VENTURA;261160;-8.05888;-34.889708161354065;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;2818.0;0.0;0.0;0.0;2818.0;4461577.49;H;1;03;58.367;0.013;0.0;0.0;1.0;1583.24
facility:0000531;facility;CNES 0000531 (Recife - PE);261160;-8.03932237033039;-34.933098260825226;;;True;included;1;0;1;1;1;ibge_malha;synthetic_municipality;285.0;6.0;229.0;4.0;285.0;427500.0;B;3;03;54.586;4.305;0.021053;0.803509;1.0;1500.0
facility:0000558;facility;CNES 0000558 (Recife - PE);261160;-8.03932237033039;-34.933098260825226;;;True;included;1;1;0;1;1;ibge_malha;synthetic_municipality;;;;;;;;;;;;;;;
