location_id;node_id;municipality_code
0008028;facility:0008028;353440
0008036;facility:0008036;353440
0008052;facility:0008052;353440
0008087;facility:0008087;353440
0008141;facility:0008141;353440
0008494;facility:0008494;354780
0008923;facility:0008923;354780
0009601;facility:0009601;354990
0009628;facility:0009628;354990
0009695;facility:0009695;354990
0021520;facility:0021520;354780
0024228;facility:0024228;354780
0026417;facility:0026417;354990
0092894;facility:0092894;351050
0102075;facility:0102075;355030
0102105;facility:0102105;355030
0102741;facility:0102741;350320
0103462;facility:0103462;353340
0104795;facility:0104795;354850
0105589;facility:0105589;354100
0105597;facility:0105597;353440
0105759;facility:0105759;354870
0105767;facility:0105767;354870
0109746;facility:0109746;354780
0110310;facility:0110310;350900
0110612;facility:0110612;351907
0110981;facility:0110981;355280
0112062;facility:0112062;354330
0112542;facility:0112542;353470
0113921;facility:0113921;352390
0115509;facility:0115509;352850
0127604;facility:0127604;350570
0133272;facility:0133272;355410
0134163;facility:0134163;352440
0136328;facility:0136328;353800
0158119;facility:0158119;355030
0161438;facility:0161438;355030
0163279;facility:0163279;354780
0189979;facility:0189979;351050
0197831;facility:0197831;350950
0213527;facility:0213527;350600
0255297;facility:0255297;350610
0255874;facility:0255874;351840
0302961;facility:0302961;354390
0404853;facility:0404853;350950
0478024;facility:0478024;354980
0478849;facility:0478849;354980
2022621;facility:2022621;350950
2022648;facility:2022648;350950
2023016;facility:2023016;350940
2023474;facility:2023474;352470
2023709;facility:2023709;352340
2023865;facility:2023865;352420
2024438;facility:2024438;353110
2024691;facility:2024691;351340
2024756;facility:2024756;350850
2024772;facility:2024772;350860
2025361;facility:2025361;354870
2025477;facility:2025477;352430
2025507;facility:2025507;352900
2025752;facility:2025752;354850
2026805;facility:2026805;351860
2027186;facility:2027186;352240
2027240;facility:2027240;355030
2027356;facility:2027356;354870
2028204;facility:2028204;353130
2028239;facility:2028239;355430
2028840;facility:2028840;355030
2039001;facility:2039001;355250
2040069;facility:2040069;351880
2040573;facility:2040573;352050
2042894;facility:2042894;354850
2053500;facility:2053500;353150
2053519;facility:2053519;353150
2058243;facility:2058243;355090
2058308;facility:2058308;353340
2058340;facility:2058340;354190
2058405;facility:2058405;355200
2058626;facility:2058626;351110
2058782;facility:2058782;354140
2058790;facility:2058790;350160
2065665;facility:2065665;355030
2066092;facility:2066092;355030
2066572;facility:2066572;355030
2068974;facility:2068974;355030
2069008;facility:2069008;355030
2069776;facility:2069776;354870
2070766;facility:2070766;355030
2071371;facility:2071371;355030
2071568;facility:2071568;355030
2072033;facility:2072033;351510
2072513;facility:2072513;354730
2075717;facility:2075717;355030
2075962;facility:2075962;355030
2076896;facility:2076896;355030
2076926;facility:2076926;355030
2076942;facility:2076942;352350
2076985;facility:2076985;355030
2077078;facility:2077078;351500
2077124;facility:2077124;351060
2077310;facility:2077310;351840
2077388;facility:2077388;355030
2077396;facility:2077396;354980
2077418;facility:2077418;355030
2077426;facility:2077426;355030
2077434;facility:2077434;353620
2077450;facility:2077450;355030
2077477;facility:2077477;355030
2077485;facility:2077485;355030
2077493;facility:2077493;355030
2077507;facility:2077507;355030
2077515;facility:2077515;350310
2077523;facility:2077523;355030
2077531;facility:2077531;355030
2077558;facility:2077558;350050
2077574;facility:2077574;355030
2077582;facility:2077582;352680
2077590;facility:2077590;355030
2077620;facility:2077620;355030
2077639;facility:2077639;355030
2077647;facility:2077647;350010
2077655;facility:2077655;355030
2077671;facility:2077671;355030
2077701;facility:2077701;355030
2077752;facility:2077752;355030
2077957;facility:2077957;355030
2078015;facility:2078015;355030
2078031;facility:2078031;354340
2078074;facility:2078074;352670
2078104;facility:2078104;352250
2078112;facility:2078112;354490
