node_id;node_type;name;municipality_code;latitude;longitude;capacity_beds;habilitation_level
facility:0008028;facility;CNES 0008028 (Osasco - SP);353440;;;;
facility:0008036;facility;CNES 0008036 (Osasco - SP);353440;;;;
facility:0008052;facility;CNES 0008052 (Osasco - SP);353440;;;;
facility:0008087;facility;CNES 0008087 (Osasco - SP);353440;;;;
facility:0008141;facility;CNES 0008141 (Osasco - SP);353440;;;;
facility:0008494;facility;CNES 0008494 (Santo André - SP);354780;;;;
facility:0008923;facility;CNES 0008923 (Santo André - SP);354780;;;;
facility:0009601;facility;CNES 0009601 (São José dos Campos - SP);354990;;;;
facility:0009628;facility;CNES 0009628 (São José dos Campos - SP);354990;;;;
facility:0009695;facility;CNES 0009695 (São José dos Campos - SP);354990;;;;
facility:0021520;facility;CNES 0021520 (Santo André - SP);354780;;;;
facility:0024228;facility;CNES 0024228 (Santo André - SP);354780;;;;
facility:0026417;facility;CNES 0026417 (São José dos Campos - SP);354990;;;;
facility:0092894;facility;CNES 0092894 (Caraguatatuba - SP);351050;;;;
facility:0102075;facility;CNES 0102075 (São Paulo - SP);355030;;;;
facility:0102105;facility;CNES 0102105 (São Paulo - SP);355030;;;;
facility:0102741;facility;CNES 0102741 (Araraquara - SP);350320;;;;
facility:0103462;facility;CNES 0103462 (Nova Odessa - SP);353340;;;;
facility:0104795;facility;CNES 0104795 (Santos - SP);354850;;;;
facility:0105589;facility;CNES 0105589 (Praia Grande - SP);354100;;;;
facility:0105597;facility;CNES 0105597 (Osasco - SP);353440;;;;
facility:0105759;facility;CNES 0105759 (São Bernardo do Campo - SP);354870;;;;
facility:0105767;facility;CNES 0105767 (São Bernardo do Campo - SP);354870;;;;
facility:0109746;facility;CNES 0109746 (Santo André - SP);354780;;;;
facility:0110310;facility;CNES 0110310 (Caieiras - SP);350900;;;;
facility:0110612;facility;CNES 0110612 (Hortolândia - SP);351907;;;;
facility:0110981;facility;CNES 0110981 (Taboão da Serra - SP);355280;;;;
facility:0112062;facility;CNES 0112062 (Ribeirão Pires - SP);354330;;;;
facility:0112542;facility;CNES 0112542 (Ourinhos - SP);353470;;;;
facility:0113921;facility;CNES 0113921 (Itu - SP);352390;;;;
