node_id;node_type;name;municipality_code;latitude;longitude;capacity_beds;habilitation_level
facility:0008028;facility;CNES 0008028 (Osasco - SP);353440;-23.528778470836503;-46.78927078998151;;
facility:0008036;facility;CNES 0008036 (Osasco - SP);353440;-23.528778470836503;-46.78927078998151;;
facility:0008052;facility;CNES 0008052 (Osasco - SP);353440;-23.528778470836503;-46.78927078998151;;
facility:0008087;facility;CNES 0008087 (Osasco - SP);353440;-23.528778470836503;-46.78927078998151;;
facility:0008141;facility;CNES 0008141 (Osasco - SP);353440;-23.528778470836503;-46.78927078998151;;
facility:0008494;facility;CNES 0008494 (Santo André - SP);354780;-23.727950307913122;-46.44157958147602;;
facility:0008923;facility;CNES 0008923 (Santo André - SP);354780;-23.727950307913122;-46.44157958147602;;
facility:0009601;facility;CNES 0009601 (São José dos Campos - SP);354990;-23.09056285793361;-45.92853292396424;;
facility:0009628;facility;CNES 0009628 (São José dos Campos - SP);354990;-23.09056285793361;-45.92853292396424;;
facility:0009695;facility;CNES 0009695 (São José dos Campos - SP);354990;-23.09056285793361;-45.92853292396424;;
facility:0021520;facility;CNES 0021520 (Santo André - SP);354780;-23.727950307913122;-46.44157958147602;;
facility:0024228;facility;CNES 0024228 (Santo André - SP);354780;-23.727950307913122;-46.44157958147602;;
facility:0026417;facility;CNES 0026417 (São José dos Campos - SP);354990;-23.09056285793361;-45.92853292396424;;
facility:0092894;facility;CNES 0092894 (Caraguatatuba - SP);351050;-23.639659817648838;-45.48812479058317;;
facility:0102075;facility;CNES 0102075 (São Paulo - SP);355030;-23.650049140231506;-46.64808599996871;;
facility:0102105;facility;CNES 0102105 (São Paulo - SP);355030;-23.650049140231506;-46.64808599996871;;
facility:0102741;facility;CNES 0102741 (Araraquara - SP);350320;-21.791630848860922;-48.18132382046745;;
facility:0103462;facility;CNES 0103462 (Nova Odessa - SP);353340;-22.78410467087701;-47.2851780431944;;
facility:0104795;facility;CNES 0104795 (Santos - SP);354850;-23.868898172775825;-46.29151878988766;;
facility:0105589;facility;CNES 0105589 (Praia Grande - SP);354100;-24.01559616320785;-46.52273168984141;;
facility:0105597;facility;CNES 0105597 (Osasco - SP);353440;-23.528778470836503;-46.78927078998151;;
facility:0105759;facility;CNES 0105759 (São Bernardo do Campo - SP);354870;-23.812966500120577;-46.5507941698001;;
facility:0105767;facility;CNES 0105767 (São Bernardo do Campo - SP);354870;-23.812966500120577;-46.5507941698001;;
facility:0109746;facility;CNES 0109746 (Santo André - SP);354780;-23.727950307913122;-46.44157958147602;;
facility:0110310;facility;CNES 0110310 (Caieiras - SP);350900;-23.375909580231067;-46.74523817774624;;
facility:0110612;facility;CNES 0110612 (Hortolândia - SP);351907;-22.878430282821174;-47.20774436401098;;
facility:0110981;facility;CNES 0110981 (Taboão da Serra - SP);355280;-23.62053466595504;-46.786404776926915;;
facility:0112062;facility;CNES 0112062 (Ribeirão Pires - SP);354330;-23.701052794296128;-46.40280486315838;;
facility:0112542;facility;CNES 0112542 (Ourinhos - SP);353470;-22.952676958514093;-49.85241742148784;;
facility:0113921;facility;CNES 0113921 (Itu - SP);352390;-23.30714254195153;-47.28460850169573;;
facility:0115509;facility;CNES 0115509 (Mairiporã - SP);352850;-23.317257149839982;-46.561281528311966;;
facility:0127604;facility;CNES 0127604 (Barueri - SP);350570;-23.50528114454512;-46.87726226128134;;
facility:0133272;facility;CNES 0133272 (Taubaté - SP);355410;-23.087108076769162;-45.50238746898767;;
facility:0134163;facility;CNES 0134163 (Jacareí - SP);352440;-23.298890861430152;-45.99047190932438;;
facility:0136328;facility;CNES 0136328 (Pindamonhangaba - SP);353800;-22.88000880396004;-45.45927483148011;;
facility:0158119;facility;CNES 0158119 (São Paulo - SP);355030;-23.650049140231506;-46.64808599996871;;
facility:0161438;facility;CNES 0161438 (São Paulo - SP);355030;-23.650049140231506;-46.64808599996871;;
facility:0163279;facility;CNES 0163279 (Santo André - SP);354780;-23.727950307913122;-46.44157958147602;;
facility:0189979;facility;CNES 0189979 (Caraguatatuba - SP);351050;-23.639659817648838;-45.48812479058317;;
facility:0197831;facility;CNES 0197831 (Campinas - SP);350950;-22.883756387475355;-47.04379621907528;;
facility:0213527;facility;CNES 0213527 (Bauru - SP);350600;-22.25399542167874;-49.12613527193945;;
