node_id;node_type;name;municipality_code;latitude;longitude;capacity_beds;habilitation_level
facility:0008028;facility;;353440;;;;
facility:0008036;facility;;353440;;;;
facility:0008052;facility;;353440;;;;
facility:0008087;facility;;353440;;;;
facility:0008141;facility;;353440;;;;
facility:0008494;facility;;354780;;;;
facility:0008923;facility;;354780;;;;
facility:0009601;facility;;354990;;;;
facility:0009628;facility;;354990;;;;
facility:0009695;facility;;354990;;;;
facility:0021520;facility;;354780;;;;
facility:0024228;facility;;354780;;;;
facility:0026417;facility;;354990;;;;
facility:0092894;facility;;351050;;;;
facility:0102075;facility;;355030;;;;
facility:0102105;facility;;355030;;;;
facility:0102741;facility;;350320;;;;
facility:0103462;facility;;353340;;;;
facility:0104795;facility;;354850;;;;
facility:0105589;facility;;354100;;;;
facility:0105597;facility;;353440;;;;
facility:0105759;facility;;354870;;;;
facility:0105767;facility;;354870;;;;
facility:0109746;facility;;354780;;;;
facility:0110310;facility;;350900;;;;
facility:0110612;facility;;351907;;;;
facility:0110981;facility;;355280;;;;
facility:0112062;facility;;354330;;;;
facility:0112542;facility;;353470;;;;
facility:0113921;facility;;352390;;;;
facility:0115509;facility;;352850;;;;
facility:0127604;facility;;350570;;;;
facility:0133272;facility;;355410;;;;
facility:0134163;facility;;352440;;;;
facility:0136328;facility;;353800;;;;
facility:0158119;facility;;355030;;;;
facility:0161438;facility;;355030;;;;
facility:0163279;facility;;354780;;;;
facility:0189979;facility;;351050;;;;
facility:0197831;facility;;350950;;;;
facility:0213527;facility;;350600;;;;
facility:0255297;facility;;350610;;;;
facility:0255874;facility;;351840;;;;
facility:0302961;facility;;354390;;;;
facility:0404853;facility;;350950;;;;
facility:0478024;facility;;354980;;;;
facility:0478849;facility;;354980;;;;
facility:2022621;facility;;350950;;;;
facility:2022648;facility;;350950;;;;
facility:2023016;facility;;350940;;;;
facility:2023474;facility;;352470;;;;
facility:2023709;facility;;352340;;;;
facility:2023865;facility;;352420;;;;
facility:2024438;facility;;353110;;;;
facility:2024691;facility;;351340;;;;
facility:2024756;facility;;350850;;;;
facility:2024772;facility;;350860;;;;
facility:2025361;facility;;354870;;;;
facility:2025477;facility;;352430;;;;
facility:2025507;facility;;352900;;;;
facility:2025752;facility;;354850;;;;
facility:2026805;facility;;351860;;;;
facility:2027186;facility;;352240;;;;
facility:2027240;facility;;355030;;;;
facility:2027356;facility;;354870;;;;
facility:2028204;facility;;353130;;;;
facility:2028239;facility;;355430;;;;
facility:2028840;facility;;355030;;;;
facility:2039001;facility;;355250;;;;
facility:2040069;facility;;351880;;;;
facility:2040573;facility;;352050;;;;
facility:2042894;facility;;354850;;;;
facility:2053500;facility;;353150;;;;
facility:2053519;facility;;353150;;;;
facility:2058243;facility;;355090;;;;
facility:2058308;facility;;353340;;;;
facility:2058340;facility;;354190;;;;
facility:2058405;facility;;355200;;;;
facility:2058626;facility;;351110;;;;
facility:2058782;facility;;354140;;;;
facility:2058790;facility;;350160;;;;
facility:2065665;facility;;355030;;;;
facility:2066092;facility;;355030;;;;
facility:2066572;facility;;355030;;;;
facility:2068974;facility;;355030;;;;
facility:2069008;facility;;355030;;;;
facility:2069776;facility;;354870;;;;
facility:2070766;facility;;355030;;;;
facility:2071371;facility;;355030;;;;
facility:2071568;facility;;355030;;;;
facility:2072033;facility;;351510;;;;
facility:2072513;facility;;354730;;;;
facility:2075717;facility;;355030;;;;
facility:2075962;facility;;355030;;;;
facility:2076896;facility;;355030;;;;
facility:2076926;facility;;355030;;;;
facility:2076942;facility;;352350;;;;
facility:2076985;facility;;355030;;;;
facility:2077078;facility;;351500;;;;
facility:2077124;facility;;351060;;;;
facility:2077310;facility;;351840;;;;
facility:2077388;facility;;355030;;;;
facility:2077396;facility;;354980;;;;
facility:2077418;facility;;355030;;;;
facility:2077426;facility;;355030;;;;
facility:2077434;facility;;353620;;;;
facility:2077450;facility;;355030;;;;
facility:2077477;facility;;355030;;;;
facility:2077485;facility;;355030;;;;
facility:2077493;facility;;355030;;;;
facility:2077507;facility;;355030;;;;
facility:2077515;facility;;350310;;;;
facility:2077523;facility;;355030;;;;
facility:2077531;facility;;355030;;;;
facility:2077558;facility;;350050;;;;
facility:2077574;facility;;355030;;;;
facility:2077582;facility;;352680;;;;
facility:2077590;facility;;355030;;;;
facility:2077620;facility;;355030;;;;
facility:2077639;facility;;355030;;;;
facility:2077647;facility;;350010;;;;
facility:2077655;facility;;355030;;;;
facility:2077671;facility;;355030;;;;
facility:2077701;facility;;355030;;;;
facility:2077752;facility;;355030;;;;
facility:2077957;facility;;355030;;;;
facility:2078015;facility;;355030;;;;
facility:2078031;facility;;354340;;;;
facility:2078074;facility;;352670;;;;
facility:2078104;facility;;352250;;;;
facility:2078112;facility;;354490;;;;
facility:2078139;facility;;354150;;;;
facility:2078155;facility;;351880;;;;
facility:2078198;facility;;354790;;;;
facility:2078252;facility;;350650;;;;
facility:2078287;facility;;355030;;;;
facility:2078295;facility;;355370;;;;
facility:2078325;facility;;355030;;;;
facility:2078341;facility;;353180;;;;
facility:2078384;facility;;353730;;;;
facility:2078414;facility;;351740;;;;
facility:2078422;facility;;353710;;;;
facility:2078449;facility;;353630;;;;
facility:2078465;facility;;350950;;;;
facility:2078473;facility;;351350;;;;
facility:2078503;facility;;353730;;;;
facility:2078511;facility;;352044;;;;
facility:2078538;facility;;352400;;;;
facility:2078546;facility;;354860;;;;
facility:2078562;facility;;352310;;;;
facility:2078775;facility;;350280;;;;
facility:2078813;facility;;355220;;;;
facility:2078848;facility;;350190;;;;
facility:2078902;facility;;353790;;;;
facility:2078937;facility;;350260;;;;
facility:2079011;facility;;351500;;;;
facility:2079097;facility;;351020;;;;
facility:2079119;facility;;354340;;;;
facility:2079135;facility;;355400;;;;
facility:2079178;facility;;354530;;;;
facility:2079186;facility;;355030;;;;
facility:2079194;facility;;350170;;;;
facility:2079208;facility;;353080;;;;
facility:2079216;facility;;351100;;;;
facility:2079224;facility;;352290;;;;
facility:2079232;facility;;354580;;;;
facility:2079240;facility;;355030;;;;
facility:2079283;facility;;353540;;;;
facility:2079291;facility;;353520;;;;
facility:2079313;facility;;350840;;;;
facility:2079321;facility;;355220;;;;
facility:2079348;facility;;352010;;;;
facility:2079356;facility;;355340;;;;
facility:2079364;facility;;355150;;;;
facility:2079380;facility;;354500;;;;
facility:2079399;facility;;355270;;;;
facility:2079410;facility;;351880;;;;
facility:2079429;facility;;354530;;;;
facility:2079437;facility;;352880;;;;
facility:2079461;facility;;350810;;;;
facility:2079496;facility;;351310;;;;
facility:2079518;facility;;351360;;;;
facility:2079550;facility;;354560;;;;
facility:2079593;facility;;354260;;;;
facility:2079615;facility;;351970;;;;
facility:2079682;facility;;353250;;;;
facility:2079690;facility;;355000;;;;
facility:2079704;facility;;355210;;;;
facility:2079720;facility;;354850;;;;
facility:2079763;facility;;350320;;;;
facility:2079798;facility;;350950;;;;
facility:2079828;facility;;355280;;;;
facility:2079836;facility;;352270;;;;
facility:2079860;facility;;355250;;;;
facility:2079879;facility;;355380;;;;
facility:2079895;facility;;352480;;;;
facility:2079909;facility;;353900;;;;
facility:2079917;facility;;352730;;;;
facility:2079925;facility;;354060;;;;
facility:2079968;facility;;355580;;;;
facility:2079976;facility;;352640;;;;
facility:2080028;facility;;351380;;;;
facility:2080044;facility;;354940;;;;
facility:2080052;facility;;353060;;;;
facility:2080079;facility;;351570;;;;
facility:2080087;facility;;355450;;;;
facility:2080095;facility;;352570;;;;
facility:2080109;facility;;354040;;;;
facility:2080117;facility;;351620;;;;
facility:2080125;facility;;355030;;;;
facility:2080184;facility;;352390;;;;
facility:2080192;facility;;352390;;;;
facility:2080222;facility;;350870;;;;
facility:2080273;facility;;354780;;;;
facility:2080281;facility;;351900;;;;
facility:2080338;facility;;351880;;;;
facility:2080346;facility;;355030;;;;
facility:2080354;facility;;354850;;;;
facility:2080362;facility;;352070;;;;
facility:2080370;facility;;353890;;;;
facility:2080400;facility;;354340;;;;
facility:2080427;facility;;351880;;;;
facility:2080443;facility;;355010;;;;
facility:2080451;facility;;352130;;;;
facility:2080478;facility;;353700;;;;
facility:2080508;facility;;350130;;;;
facility:2080524;facility;;354240;;;;
facility:2080532;facility;;354140;;;;
facility:2080575;facility;;355030;;;;
facility:2080583;facility;;355030;;;;
facility:2080605;facility;;355470;;;;
facility:2080621;facility;;354000;;;;
facility:2080664;facility;;355500;;;;
facility:2080680;facility;;353060;;;;
facility:2080737;facility;;351660;;;;
facility:2080745;facility;;354630;;;;
facility:2080788;facility;;355030;;;;
facility:2080826;facility;;352190;;;;
facility:2080842;facility;;351000;;;;
facility:2080869;facility;;353660;;;;
facility:2080907;facility;;353490;;;;
facility:2080915;facility;;350640;;;;
facility:2080923;facility;;354970;;;;
facility:2080931;facility;;354890;;;;
facility:2080958;facility;;353530;;;;
facility:2080966;facility;;351520;;;;
facility:2080982;facility;;351190;;;;
facility:2080990;facility;;352900;;;;
facility:2081059;facility;;353650;;;;
facility:2081083;facility;;350400;;;;
facility:2081091;facility;;352260;;;;
facility:2081105;facility;;355630;;;;
facility:2081113;facility;;354390;;;;
facility:2081164;facility;;354340;;;;
facility:2081202;facility;;354330;;;;
facility:2081229;facility;;353600;;;;
facility:2081237;facility;;354380;;;;
facility:2081253;facility;;350330;;;;
facility:2081261;facility;;350700;;;;
facility:2081296;facility;;350930;;;;
facility:2081342;facility;;355600;;;;
facility:2081350;facility;;353880;;;;
facility:2081377;facility;;355710;;;;
facility:2081385;facility;;355510;;;;
facility:2081393;facility;;355160;;;;
facility:2081407;facility;;352520;;;;
facility:2081431;facility;;352740;;;;
facility:2081458;facility;;352690;;;;
facility:2081466;facility;;352450;;;;
facility:2081482;facility;;350950;;;;
facility:2081490;facility;;350950;;;;
facility:2081512;facility;;351840;;;;
facility:2081520;facility;;351780;;;;
facility:2081555;facility;;352320;;;;
facility:2081563;facility;;351518;;;;
facility:2081571;facility;;354420;;;;
facility:2081598;facility;;355360;;;;
facility:2081644;facility;;351840;;;;
facility:2081652;facility;;351690;;;;
facility:2081660;facility;;352090;;;;
facility:2081695;facility;;355220;;;;
facility:2081717;facility;;351370;;;;
